"ef_date","total_amount"
20160617,12777727 
20160618,37747662 
20160619,26469048 
20160620,14218809 
20160621,16110974 
20160622,12921753 
20160623,36597056 
20160624,22427749 
20160625,25116407 
20160626,23348961 
20160627,12443247 
20160628,14187900 
20160629,13618095 
20160630,17398917 
20160701,17402251 
20160702,34039740 
20160703,25974091 
20160704,14150800 
20160705,19402792 
20160706,16503744 
20160707,20960757 
20160708,26312381 
20160709,39889892 
20160710,31518874 
20160711,22213333 
20160712,23636385 
20160713,21103138 
20160714,22030303 
20160715,20587099 
20160716,38184134 
20160717,27995151 
20160718,22552272 
20160719,19577510 
20160720,16226233 
20160721,14692727 
20160722,17099091 
20160723,32271840 
20160724,27664805 
20160725,19779415 
20160726,19637381 
20160727,18573138 
20160728,19276861 
20160729,20213895 
20160730,33944264 
20160731,23599848 
20160801,15613095 
20160802,15198398 
20160803,12261298 
20160804,16736948 
20160805,19181299 
20160806,41747749 
20160807,29085389 
20160808,17056645 
20160809,19843809 
20160810,16638658 
20160811,18342857 
20160812,21406515 
20160813,39792641 
20160814,29651320 
20160815,11596104 
20160816,17221883 
20160817,15167922 
20160818,14025043 
20160819,10925303 
20160820,24296363 
20160821,17742078 
20160822,7940930 
20160823,7578917 
20160824,8113246 
20160825,5700844 
20160826,9309220 
20160827,25275974 
20160828,22577078 
20160829,9575433 
20160830,7505259 
20160831,6020671 
20160901,14735649 
20160902,39386840 
20160903,41792489 
20160904,21603398 
20160905,7006666 
20160906,7830259 
20160907,10666471 
20160908,9602077 
20160909,11071168 
20160910,22167142 
20160911,19658852 
20160912,8514220 
20160913,7032229 
20160914,6464740 
20160915,8526536 
20160916,7513766 
20160917,17999718 
20160918,20936775 
20160919,7560995 
20160920,6736471 
20160921,4763311 
20160922,6585562 
20160923,7073008 
20160924,18660368 
20160925,16727034 
20160926,5729307 
20160927,7374004 
20160928,6298701 
20160929,5293614 
20160930,6050238 
20161001,20583181 
20161002,16165909 
20161003,6108268 
20161004,7307511 
20161005,7028614 
20161006,4874913 
20161007,7717662 
20161008,19317446 
20161009,16720324 
20161010,6602554 
20161011,7767770 
