"ef_date","total_amount"
20140814,25747316 
20140815,8646969 
20140816,11179653 
20140817,8650324 
20140818,8697207 
20140819,8896017 
20140820,8243917 
20140821,8695735 
20140822,7303225 
20140823,7505757 
20140824,6004848 
20140825,6406623 
20140826,6774264 
20140827,5447034 
20140828,5464718 
20140829,5946428 
20140830,6026363 
20140831,5821190 
20140901,6356212 
20140902,6164112 
20140903,7608008 
20140904,4574393 
20140905,5770974 
20140906,6213766 
20140907,7060389 
20140908,6893506 
20140909,7083766 
20140910,6580822 
20140911,6142597 
20140912,6679458 
20140913,7712099 
20140914,7321190 
20140915,6680432 
20140916,6052987 
20140917,6038982 
20140918,8045584 
20140919,6458051 
20140920,6965021 
20140921,7183181 
20140922,6955021 
20140923,6730606 
20140924,7467554 
20140925,5051601 
20140926,7881147 
20140927,8892099 
20140928,7251493 
20140929,9153571 
20140930,7468939 
20141001,7744783 
20141002,9765909 
20141003,7224242 
20141004,9097164 
20141005,8484328 
20141006,8896580 
20141007,8411947 
20141008,8234502 
20141009,9266969 
20141010,8903095 
20141011,10476385 
20141012,10116839 
20141013,8556753 
20141014,9686926 
20141015,9170194 
20141016,7592705 
20141017,10269718 
20141018,9109978 
20141019,10574220 
20141020,7193593 
20141021,8032597 
20141022,8763246 
20141023,9453355 
20141024,8651471 
20141025,8580173 
20141026,8745757 
20141027,9603138 
20141028,7755173 
20141029,8407554 
20141030,7765324 
20141031,8710021 
20141101,9262164 
20141102,9682294 
20141103,7399177 
20141104,9544523 
20141105,7915389 
20141106,11645346 
20141107,8977467 
20141108,10316190 
20141109,9923593 
20141110,9610086 
20141111,9405043 
20141112,11620432 
20141113,8891060 
20141114,10638355 
20141115,11329762 
20141116,11534307 
20141117,8456190 
20141118,9502251 
20141119,7532619 
20141120,10936623 
20141121,9375389 
20141122,10014567 
20141123,11469783 
20141124,9321039 
20141125,8579718 
20141126,8939718 
20141127,10028787 
20141128,8932467 
20141129,11095151 
20141130,10828160 
20141201,10651969 
20141202,8973030 
20141203,9583290 
20141204,9815974 
20141205,11915143 
20141206,11146363 
20141207,11473723 
20141208,10103614 
20141209,9322177 
20141210,7609480 
20141211,8472770 
20141212,8961645 
20141213,9270887 
20141214,10990021 
20141215,8845368 
20141216,8560000 
20141217,8902995 
20141218,8484454 
20141219,7581259 
20141220,9173485 
20141221,10847220 
20141222,10227511 
20141223,10694212 
20141224,11868515 
20141225,12322056 
20141226,10654935 
20141227,9262835 
20141228,11286818 
20141229,9163744 
20141230,9349870 
20141231,12325779 
20150101,9666255 
20150102,10561753 
20150103,9807684 
20150104,11200195 
20150105,8828312 
20150106,8802727 
20150107,9442619 
20150108,9277511 
20150109,10629502 
20150110,11950800 
20150111,10479091 
20150112,7408701 
20150113,8184956 
20150114,12236082 
20150115,10274502 
20150116,10863593 
20150117,9358484 
20150118,11553268 
20150119,9706363 
20150120,10330909 
20150121,9711839 
20150122,8467987 
20150123,10475757 
20150124,9371363 
20150125,10251753 
20150126,9477142 
20150127,7514069 
20150128,8941333 
20150129,9135056 
20150130,9168008 
20150131,9692337 
20150201,11225389 
20150202,8460930 
20150203,10505844 
20150204,8611636 
20150205,10074047 
20150206,9385433 
20150207,10728571 
20150208,13779740 
20150209,9480324 
20150210,11016562 
20150211,6852987 
20150212,8274653 
20150213,11265995 
20150214,9998917 
20150215,8988939 
20150216,8861818 
20150217,10056601 
20150218,13780065 
20150219,12160844 
20150220,11300714 
20150221,10475433 
20150222,10371948 
20150223,11974372 
20150224,9225974 
20150225,9932922 
20150226,10112207 
20150227,10051601 
20150228,10780904 
20150301,11603805 
20150302,9647576 
20150303,10149696 
20150304,9005389 
20150305,9373526 
20150306,10006926 
20150307,10674824 
20150308,11275965 
20150309,10479502 
20150310,10675562 
20150311,9479069 
20150312,9490411 
20150313,12056428 
20150314,10621774 
20150315,14131645 
20150316,10294718 
20150317,8476558 
20150318,9770971 
20150319,11194502 
20150320,10028506 
20150321,9879999 
20150322,11127489 
20150323,11991645 
20150324,11209264 
20150325,8897099 
20150326,9742878 
20150327,12709350 
20150328,11640259 
20150329,11826818 
20150330,10950692 
20150331,10049891 
20150401,10520995 
20150402,10686082 
20150403,10046558 
20150404,12753311 
20150405,16242770 
20150406,9268138 
20150407,11616818 
20150408,12867337 
20150409,11365714 
20150410,11435151 
20150411,12497640 
20150412,13580259 
20150413,9784848 
20150414,10929805 
20150415,12070194 
20150416,11087251 
20150417,12196731 
20150418,12629805 
20150419,11970606 
20150420,12618874 
20150421,10550173 
20150422,11868571 
20150423,12229307 
20150424,13544805 
20150425,11681991 
20150426,14506147 
20150427,12525476 
20150428,11641320 
20150429,11001948 
20150430,12871796 
20150501,11689805 
20150502,8163614 
20150503,10985584 
20150504,11671601 
20150505,10054826 
20150506,12112684 
20150507,11312792 
20150508,11162922 
20150509,14410541 
20150510,12163701 
20150511,12530216 
20150512,11949675 
20150513,11726991 
20150514,11217077 
20150515,11870062 
20150516,12702056 
20150517,14543961 
20150518,13081948 
20150519,11369372 
20150520,11753355 
20150521,12867424 
20150522,11937207 
20150523,14760129 
20150524,13792077 
20150525,12745952 
20150526,11284696 
20150527,11744220 
20150528,12650822 
20150529,12758030 
20150530,11642662 
20150531,11809805 
20150601,13025151 
20150602,9939437 
20150603,12251580 
20150604,9453268 
20150605,10871621 
20150606,13583593 
20150607,12371168 
20150608,12476147 
20150609,13565692 
20150610,12095065 
20150611,13332640 
20150612,11442142 
20150613,14028831 
20150614,12227554 
20150615,10779935 
20150616,11360801 
20150617,10899458 
20150618,11039026 
20150619,13014978 
20150620,10924264 
20150621,10861536 
20150622,11769307 
20150623,11235670 
20150624,11768354 
20150625,11432229 
20150626,11655368 
20150627,10709502 
20150628,12506277 
20150629,14543744 
20150630,13945974 
20150701,13246190 
20150702,14226731 
20150703,15234694 
20150704,13699978 
20150705,13756688 
20150706,11643506 
20150707,14543744 
20150708,13220324 
20150709,13227056 
20150710,12039653 
20150711,13003874 
20150712,14699567 
20150713,14437402 
20150714,13082424 
20150715,13817446 
20150716,11115736 
20150717,10140562 
20150718,13762705 
20150719,14220885 
20150720,12157792 
20150721,12151753 
20150722,11798852 
20150723,10668485 
20150724,12377467 
20150725,10916729 
20150726,14651558 
20150727,10694307 
20150728,11781837 
20150729,12421688 
20150730,9904502 
20150731,13833550 
20150801,15037316 
20150802,11496125 
20150803,11728398 
20150804,11203614 
20150805,14596558 
20150806,13057640 
20150807,11893008 
20150808,14169632 
20150809,13776233 
20150810,9804653 
20150811,12937562 
20150812,12194891 
20150813,11545519 
20150814,10035103 
20150815,13789826 
20150816,14507294 
20150817,11855822 
20150818,13134978 
20150819,10951675 
20150820,11544523 
20150821,11862662 
20150822,13185653 
20150823,11933095 
20150824,11703420 
20150825,12654783 
20150826,12920995 
20150827,12073528 
20150828,13435181 
20150829,12901753 
20150830,15348136 
20150831,12483744 
20150901,13831450 
20150902,15049459 
20150903,12877380 
20150904,12611190 
20150905,13329134 
20150906,15757878 
20150907,13028331 
20150908,11268073 
20150909,12310454 
20150910,13357251 
20150911,11701082 
20150912,12926926 
20150913,12766536 
20150914,11876731 
20150915,11603766 
20150916,12556428 
20150917,14235433 
20150918,12896510 
20150919,14178701 
20150920,15842792 
20150921,12390454 
20150922,12384913 
20150923,15087467 
20150924,14093809 
20150925,14231212 
20150926,15379848 
20150927,16874372 
20150928,12127359 
20150929,13973030 
20150930,15694848 
20151001,15188285 
20151002,13022576 
20151003,13320562 
20151004,13958333 
20151005,13285974 
20151006,13288407 
20151007,13684956 
20151008,12843506 
20151009,11045930 
20151010,15501515 
20151011,17130389 
20151012,13901580 
20151013,11411428 
20151014,14219394 
20151015,13944177 
20151016,12459069 
20151017,15930173 
20151018,17649502 
20151019,13804697 
20151020,14005454 
20151021,12522294 
20151022,11490887 
20151023,13647489 
20151024,15184827 
20151025,14323831 
20151026,13298441 
20151027,13121692 
20151028,15206212 
20151029,12758441 
20151030,14394610 
20151031,16335692 
20151101,16498008 
20151102,12276407 
20151103,13870433 
20151104,12975350 
20151105,11648203 
20151106,12773030 
20151107,14983376 
20151108,16835649 
20151109,12390454 
20151110,15451948 
20151111,13485238 
20151112,17004047 
20151113,14509805 
20151114,15026104 
20151115,15600519 
20151116,12422467 
20151117,13336450 
20151118,14606277 
20151119,12339935 
20151120,13263593 
20151121,14323008 
20151122,15058117 
20151123,13540757 
20151124,14324155 
20151125,14069350 
20151126,13471233 
20151127,13460714 
20151128,13249199 
20151129,16815455 
20151130,16335294 
20151201,14393359 
20151202,12193961 
20151203,13397705 
20151204,16176840 
20151205,16726667 
20151206,17578009 
20151207,13731710 
