"ef_date","total_amount"
20140701,15982445 
20140702,7963333 
20140703,10334134 
20140704,10432359 
20140705,7750887 
20140706,8716515 
20140707,9913679 
20140708,9953874 
20140709,9468311 
20140710,8210367 
20140711,8408159 
20140712,7069653 
20140713,6593528 
20140714,7069567 
20140715,9566710 
20140716,9302164 
20140717,7285541 
20140718,7759155 
20140719,8655411 
20140720,7319826 
20140721,8242272 
20140722,9684675 
20140723,8575389 
20140724,7899631 
20140725,7664134 
20140726,7789307 
20140727,6783722 
20140728,7893874 
20140729,7511883 
20140730,6319675 
20140731,7938917 
20140801,8704804 
20140802,8969999 
20140803,6739069 
20140804,7867099 
20140805,6870476 
20140806,6759242 
20140807,8909891 
20140808,8282835 
20140809,8012792 
20140810,7149545 
20140811,7529134 
20140812,7362597 
20140813,6640714 
20140814,7018333 
20140815,3167402 
20140816,5770779 
20140817,9048614 
20140818,6964263 
20140819,5921082 
20140820,7325346 
20140821,7043419 
20140822,7050302 
20140823,7589004 
20140824,9049372 
20140825,7070173 
20140826,7312770 
20140827,6819480 
20140828,9743549 
20140829,9609047 
20140830,9005000 
20140831,8672359 
20140901,7614567 
20140902,8368290 
20140903,9952900 
20140904,9604848 
20140905,9922618 
20140906,7809696 
20140907,8472424 
20140908,8606623 
20140909,10103528 
20140910,10014090 
20140911,9137316 
20140912,9986190 
20140913,10617337 
20140914,9205238 
20140915,9318831 
20140916,8681515 
20140917,9470194 
20140918,9773830 
20140919,10820757 
20140920,10861342 
20140921,9947618 
20140922,9906385 
20140923,9166406 
20140924,11670844 
20140925,9177965 
20140926,10465909 
20140927,11633355 
20140928,9595064 
20140929,11937142 
20140930,10113636 
20141001,12807294 
20141002,11119091 
20141003,10754285 
20141004,15212532 
20141005,12098592 
20141006,10221082 
20141007,11276688 
20141008,10929350 
20141009,11667034 
20141010,13325151 
20141011,12978679 
20141012,14064155 
20141013,10474372 
20141014,10883484 
20141015,10224393 
20141016,11976948 
20141017,13043593 
20141018,14392229 
20141019,14113527 
20141020,12432640 
20141021,11591082 
20141022,10304826 
20141023,12453852 
20141024,13354523 
20141025,14032705 
20141026,12929913 
