"ef_date","total_amount"
20131113,24013627 
20131114,15606534 
20131115,13288426 
20131116,9229588 
20131117,6625342 
20131118,10504190 
20131119,12506238 
20131120,10293874 
20131121,12581428 
20131122,8751125 
20131123,8182359 
20131124,6957640 
20131125,8138182 
20131126,8790606 
20131127,9457805 
20131128,9663822 
20131129,10716394 
20131130,8891969 
20131201,7368160 
20131202,8766883 
20131203,11673281 
20131204,10514112 
20131205,9801428 
20131206,12803467 
20131207,10546753 
20131208,8014848 
20131209,10409965 
20131210,11171991 
20131211,13096450 
20131212,12733311 
20131213,12684653 
20131214,10086753 
20131215,18181775 
20131216,8558311 
20131217,10066904 
20131218,9187922 
20131219,9042229 
20131220,13221039 
20131221,7733714 
20131222,7493484 
20131223,11597428 
20131224,12440865 
20131225,12986428 
20131226,8696883 
20131227,10899047 
20131228,9846013 
20131229,7582424 
20131230,9825930 
20131231,31902186 
20140101,13681515 
20140102,8283580 
20140103,9744372 
20140104,8194740 
20140105,7822229 
20140106,8664675 
20140107,9508506 
20140108,9597424 
20140109,12599588 
20140110,11466407 
20140111,12869935 
20140112,9671839 
20140113,10314415 
20140114,9671688 
20140115,11619848 
20140116,13013246 
20140117,10306233 
20140118,11330692 
20140119,7562792 
20140120,10181385 
20140121,9156341 
20140122,11762294 
20140123,14673225 
20140124,11920735 
20140125,14535281 
20140126,8049762 
20140127,12525194 
20140128,7032965 
20140129,5429502 
20140130,5562038 
20140131,6306060 
20140201,4592987 
20140202,5443961 
20140203,3847770 
20140204,6569025 
20140205,5768982 
20140206,6932792 
20140207,9484437 
20140208,9967402 
20140209,6779091 
20140210,10483441 
20140211,9625714 
20140212,12279805 
20140213,11829653 
20140214,15161017 
20140215,8610346 
20140216,7833658 
20140217,11531775 
20140218,11423052 
20140219,11528549 
20140220,12151515 
20140221,14615432 
20140222,11882597 
20140223,8264978 
20140224,12021125 
20140225,11628333 
20140226,11095995 
20140227,11173787 
20140228,11202575 
20140301,10460303 
20140302,11856601 
20140303,15145259 
20140304,16765671 
20140305,12377792 
20140306,13463896 
20140307,15403874 
20140308,14903485 
20140309,8989870 
20140310,15666796 
20140311,12467640 
20140312,13680411 
20140313,14173290 
20140314,12006493 
20140315,11187640 
20140316,8289502 
20140317,14739870 
20140318,15537943 
20140319,12681536 
20140320,13456168 
20140321,13056623 
20140322,12708961 
20140323,10160866 
20140324,13978376 
20140325,14676709 
20140326,13193441 
20140327,12560995 
20140328,14287813 
20140329,8855844 
20140330,8913125 
20140331,13541147 
20140401,11070562 
20140402,16095389 
20140403,10528333 
20140404,13397554 
20140405,8282316 
20140406,6725030 
20140407,12792764 
20140408,9497737 
20140409,7704253 
20140410,9735763 
20140411,14730963 
20140412,8752021 
20140413,8372277 
20140414,10990337 
20140415,10835872 
20140416,12162190 
20140417,11312441 
20140418,12102588 
20140419,30149281 
20140420,4909777 
20140421,10110712 
20140422,9290339 
20140423,12471123 
20140424,14286393 
20140425,13365220 
20140426,10994980 
20140427,8534584 
20140428,12823298 
20140429,14580363 
20140430,8331541 
20140501,7211547 
20140502,6435333 
20140503,6279922 
20140504,7690727 
20140505,11109361 
20140506,12311480 
20140507,14307491 
20140508,11857619 
20140509,14093023 
20140510,8635781 
20140511,7885606 
20140512,12774023 
20140513,11114846 
20140514,14395370 
20140515,12455112 
20140516,12520300 
20140517,9191013 
20140518,5935733 
20140519,11164820 
20140520,12433751 
20140521,11814971 
20140522,13184421 
20140523,12373190 
20140524,7867350 
20140525,8407452 
20140526,12823370 
20140527,12004614 
20140528,13052428 
20140529,13224017 
20140530,12829623 
20140531,11786692 
20140601,7345816 
20140602,10998153 
20140603,9999655 
20140604,13408980 
20140605,12998008 
20140606,14706969 
20140607,15155887 
20140608,7585974 
20140609,13709805 
