"ef_date","total_amount"
20140710,19841385 
20140711,11735324 
20140712,8953831 
20140713,8534047 
20140714,7731774 
20140715,10527034 
20140716,8332900 
20140717,10044523 
20140718,7932705 
20140719,6748051 
20140720,6564567 
20140721,5861644 
20140722,7847034 
20140723,6342250 
20140724,5600519 
20140725,7142402 
20140726,6034653 
20140727,8520411 
20140728,7305692 
20140729,6707272 
20140730,7339069 
20140731,5884328 
20140801,8474393 
20140802,5876233 
20140803,5450259 
20140804,7217034 
20140805,7593787 
20140806,8281601 
20140807,6336861 
20140808,8378008 
20140809,7324090 
20140810,7408030 
20140811,7244826 
20140812,7327575 
20140813,8881515 
20140814,6618917 
20140815,7149631 
20140816,6548073 
20140817,6642554 
20140818,9056947 
20140819,10478506 
20140820,10328333 
20140821,10416839 
20140822,10354804 
20140823,7912921 
20140824,5199653 
20140825,10484588 
20140826,9874696 
20140827,9577661 
20140828,10657445 
20140829,10807250 
20140830,6813398 
20140831,4924264 
20140901,6313160 
20140902,5249155 
20140903,10992986 
20140904,9344718 
20140905,9717488 
20140906,5790930 
20140907,5959891 
20140908,11519068 
20140909,9818116 
20140910,9603787 
20140911,10338852 
20140912,11522683 
20140913,9946883 
20140914,7151017 
20140915,10864935 
20140916,10255259 
20140917,9242510 
20140918,10237034 
20140919,12295692 
20140920,8394134 
20140921,5874783 
20140922,10481146 
20140923,12757964 
20140924,11395843 
20140925,11706103 
20140926,12212835 
20140927,8360540 
20140928,7318051 
20140929,10812943 
20140930,13096190 
20141001,10749220 
20141002,11319739 
20141003,12768614 
20141004,8445281 
20141005,8329545 
20141006,11676168 
20141007,11403549 
20141008,11478744 
20141009,11239804 
20141010,12139783 
20141011,12452402 
20141012,6386688 
20141013,13070714 
20141014,12591861 
20141015,11663830 
20141016,12671514 
20141017,13016276 
20141018,10154870 
20141019,7463593 
20141020,12742531 
20141021,12841471 
20141022,12082770 
20141023,11591817 
20141024,13449718 
20141025,10321558 
20141026,7750649 
20141027,10354263 
20141028,11965389 
20141029,12897640 
20141030,13500173 
20141031,14385216 
20141101,11486839 
20141102,7783874 
20141103,13350627 
20141104,13437489 
20141105,13873181 
20141106,13343290 
20141107,13984696 
20141108,10777142 
20141109,8385454 
20141110,15374848 
20141111,13349091 
20141112,13906709 
20141113,13847120 
20141114,14568116 
20141115,12687857 
20141116,7844523 
20141117,14341190 
20141118,14713506 
20141119,11727618 
20141120,11934069 
20141121,15089674 
20141122,12677207 
20141123,9339112 
20141124,12402013 
20141125,12404285 
20141126,12464631 
20141127,13282705 
20141128,12858943 
20141129,10240605 
20141130,9352099 
20141201,12832857 
20141202,13130237 
20141203,13162449 
20141204,13005108 
20141205,16721571 
20141206,11739978 
20141207,7049458 
20141208,9536536 
20141209,10333411 
20141210,11015973 
20141211,10428562 
20141212,10835822 
20141213,8617986 
20141214,9283354 
20141215,11171195 
20141216,9220848 
20141217,9346515 
20141218,8684354 
20141219,11179463 
20141220,8789692 
20141221,6819069 
20141222,10541922 
20141223,10021355 
20141224,10126082 
20141225,15410047 
20141226,14862034 
