"ef_date","total_amount"
20151119,46422945 
20151120,28286429 
20151121,21118572 
20151122,19559156 
20151123,15220173 
20151124,14138918 
20151125,14995779 
20151126,17083442 
20151127,15047338 
20151128,14106645 
20151129,12117727 
20151130,10560108 
20151201,11631385 
20151202,11154329 
20151203,10639113 
20151204,10700454 
20151205,12952770 
20151206,13676948 
20151207,11648788 
20151208,12082554 
20151209,11212619 
20151210,11250303 
20151211,11149178 
20151212,13144242 
20151213,13279675 
20151214,10418052 
20151215,10380108 
20151216,11038247 
20151217,11400736 
20151218,10005628 
20151219,10341948 
20151220,10323333 
20151221,8575065 
20151222,7773550 
20151223,11071623 
20151224,17029264 
20151225,10693398 
20151226,9084848 
20151227,9921861 
20151228,10755043 
20151229,13700346 
20151230,8454567 
20151231,12306818 
20160101,14716840 
20160102,10541234 
20160103,9324199 
20160104,10075952 
20160105,8677619 
20160106,6881775 
20160107,7455108 
20160108,10603247 
20160109,8614762 
20160110,10912164 
20160111,6974675 
20160112,8078918 
20160113,9160996 
20160114,8184848 
20160115,6466190 
20160116,10678528 
20160117,10019286 
20160118,8257056 
20160119,6676342 
20160120,7427186 
20160121,8858961 
20160122,9249134 
20160123,9599870 
20160124,10757966 
20160125,7428160 
20160126,8314220 
20160127,8562900 
20160128,8588636 
20160129,9490584 
20160130,12212597 
20160131,10278961 
20160201,9247835 
20160202,9969199 
20160203,8561125 
20160204,10425454 
20160205,12267467 
20160206,13622229 
20160207,23798008 
20160208,23243203 
20160209,16068052 
20160210,17044870 
20160211,14865844 
20160212,15092706 
20160213,14885346 
20160214,13471212 
20160215,10067749 
20160216,9370043 
20160217,10070909 
20160218,9525801 
20160219,9252597 
20160220,11253333 
20160221,11627034 
20160222,7722814 
20160223,7213744 
20160224,7448701 
20160225,9401948 
20160226,9875757 
20160227,9187706 
20160228,8943831 
20160301,10460671 
20160302,8176710 
20160303,9767034 
20160304,9921299 
20160305,9747836 
20160306,10556623 
20160307,7020584 
20160308,10715454 
20160309,8052749 
20160310,8582662 
20160311,8946060 
20160312,11345757 
20160313,12363268 
20160314,7553744 
20160315,7819848 
20160316,7916601 
20160317,9900584 
20160318,7605065 
20160319,9662510 
20160320,10994827 
20160321,6301731 
20160322,8784091 
20160323,9100346 
20160324,8728247 
20160325,7162943 
20160326,11231818 
20160327,13880974 
