"ef_date","total_amount"
20141127,19150021 
20141128,11527164 
20141129,13524047 
20141130,12112164 
20141201,10290013 
20141202,8135346 
20141203,8096017 
20141204,9857285 
20141205,9015021 
20141206,8633177 
20141207,9003082 
20141208,8137978 
20141209,7229112 
20141210,7034567 
20141211,6232640 
20141212,7340324 
20141213,6774372 
20141214,8253852 
20141215,8364653 
20141216,6363809 
20141217,7011190 
20141218,7305541 
20141219,6679696 
20141220,6955346 
20141221,6538787 
20141222,7688575 
20141223,8863688 
20141224,10947289 
20141225,9443813 
20141226,7397900 
20141227,7829675 
20141228,7671969 
20141229,5600735 
20141230,6138073 
20141231,8477683 
20150101,8986103 
20150102,8075930 
20150103,6833311 
20150104,7134935 
20150105,6692813 
20150106,7447316 
20150107,7201731 
20150108,7366017 
20150109,6449588 
20150110,8109437 
20150111,7747077 
20150112,6407012 
20150113,6973571 
20150114,6640952 
20150115,5858701 
20150116,6124112 
20150117,6468510 
20150118,7202865 
20150119,5951883 
20150120,6859064 
20150121,6786917 
20150122,6416428 
20150123,6032186 
20150124,6139242 
20150125,5417012 
20150126,6222705 
20150127,6689545 
20150128,5793956 
20150129,5610865 
20150130,5908203 
20150131,7265800 
20150201,7618056 
20150202,5608874 
20150203,6895021 
20150204,7525974 
20150205,6313896 
20150206,5758679 
20150207,7625372 
20150208,7099831 
20150209,6236463 
20150210,6400476 
20150211,5837857 
20150212,8093749 
20150213,7107294 
20150214,9371969 
20150215,8215588 
20150216,6841861 
20150217,6969246 
20150218,12355363 
20150219,11721536 
20150220,8518013 
20150221,8913051 
20150222,7526710 
20150223,10571000 
20150224,7455800 
20150225,8547814 
20150226,7234047 
20150227,6571233 
20150228,8106147 
20150301,8781103 
20150302,7132705 
20150303,8280086 
20150304,6756462 
20150305,6229155 
20150306,8115610 
20150307,7910952 
20150308,9735553 
20150309,5809566 
20150310,7467835 
20150311,6999826 
20150312,8485194 
20150313,6533376 
20150314,8692727 
20150315,8826926 
20150316,7168872 
20150317,6923722 
