"ef_date","total_amount"
20140828,33592230 
20140829,13642749 
20140830,11994437 
20140831,12427337 
20140901,8956017 
20140902,9997835 
20140903,9017770 
20140904,6654697 
20140905,10486688 
20140906,6133614 
20140907,7277619 
20140908,7242597 
20140909,6345368 
20140910,7117272 
20140911,6327532 
20140912,7006103 
20140913,7683961 
20140914,7776103 
20140915,6124026 
20140916,6055995 
20140917,6554848 
20140918,6988766 
20140919,7066796 
20140920,7305043 
20140921,7947315 
20140922,6874372 
20140923,7624956 
20140924,6763939 
20140925,7582770 
20140926,7121796 
20140927,8735389 
20140928,7540735 
20140929,6990454 
20140930,8098549 
20141001,7557467 
20141002,7237683 
20141003,8573679 
20141004,8119696 
20141005,7287640 
20141006,6543701 
20141007,6509480 
20141008,7137121 
20141009,6818809 
20141010,9085844 
20141011,9028030 
20141012,9267121 
20141013,7806774 
20141014,7644502 
20141015,7961341 
20141016,8782164 
20141017,8805692 
20141018,9878224 
20141019,11499934 
20141020,8420129 
20141021,8150476 
20141022,7034047 
20141023,7281493 
20141024,7494155 
20141025,10307489 
20141026,9877034 
20141027,7546688 
20141028,8980303 
20141029,7554632 
20141030,7520368 
20141031,10446883 
20141101,9876926 
20141102,10675541 
20141103,7378138 
20141104,8397316 
20141105,9034696 
20141106,8578852 
20141107,8630757 
20141108,11817272 
20141109,10957510 
20141110,8893008 
20141111,8430411 
20141112,9139805 
20141113,10645974 
20141114,9500389 
20141115,9806558 
20141116,11088614 
20141117,8712272 
20141118,8065216 
20141119,9243268 
20141120,9484372 
20141121,8163571 
20141122,11091948 
20141123,9241450 
20141124,8108549 
20141125,8253008 
20141126,9679697 
20141127,7299913 
20141128,9497251 
20141129,9232848 
20141130,8889934 
20141201,9045623 
20141202,7909290 
20141203,8961515 
20141204,10737143 
20141205,10427943 
20141206,11519069 
20141207,7695142 
20141208,8410541 
20141209,8522878 
20141210,9718809 
20141211,8065822 
20141212,7504480 
20141213,9225433 
20141214,8920671 
20141215,8436515 
20141216,9240021 
20141217,9574458 
20141218,7613982 
20141219,7597220 
20141220,8781398 
20141221,8856359 
20141222,7765108 
20141223,6704190 
20141224,12771788 
20141225,12922567 
20141226,7574220 
20141227,8616536 
20141228,9000606 
20141229,8653982 
20141230,7504437 
20141231,8880151 
20150101,10960909 
20150102,7972662 
20150103,9069848 
20150104,8407662 
20150105,9656969 
20150106,7210757 
20150107,7164956 
20150108,7804675 
20150109,8575822 
20150110,9829350 
20150111,7949545 
20150112,7126320 
20150113,7266536 
20150114,8321601 
20150115,9352207 
20150116,6717424 
20150117,9665974 
20150118,8119852 
20150119,7679567 
20150120,7343701 
20150121,7489047 
20150122,7187363 
20150123,7480887 
20150124,8283116 
20150125,8324004 
20150126,8158506 
20150127,6540129 
20150128,7769696 
20150129,6647878 
20150130,7715259 
20150131,9045757 
20150201,8037108 
20150202,8064242 
20150203,7826493 
20150204,8315000 
20150205,9840735 
20150206,6231363 
20150207,8557878 
20150208,8273160 
20150209,6502878 
20150210,7948489 
20150211,7704415 
20150212,9446731 
20150213,8110108 
20150214,9556000 
20150215,7129285 
20150216,8908536 
20150217,9562532 
20150218,15764805 
20150219,15253788 
20150220,11708208 
20150221,10487835 
20150222,10862619 
20150223,11705779 
20150224,10214545 
20150225,10298658 
20150226,9035736 
20150227,8554242 
20150228,11545151 
20150301,8970186 
20150302,8487532 
20150303,8378246 
20150304,8702813 
20150305,9670692 
20150306,9962467 
20150307,10005216 
20150308,9544588 
20150309,10633333 
20150310,9532207 
20150311,9690887 
20150312,9279090 
20150313,9320822 
20150314,10692748 
20150315,8964783 
20150316,10759913 
20150317,7716060 
20150318,8154090 
20150319,9247207 
20150320,8409718 
20150321,10206211 
20150322,10387575 
20150323,9674696 
20150324,8775021 
20150325,9466514 
20150326,8825064 
20150327,9631081 
20150328,11173179 
20150329,10892121 
20150330,9434545 
20150331,9131991 
20150401,9787359 
20150402,8932510 
20150403,10648528 
20150404,11731211 
20150405,8945411 
20150406,9555995 
20150407,9800714 
20150408,8878160 
20150409,10005151 
20150410,9880757 
20150411,10534090 
20150412,8383030 
20150413,10141082 
20150414,9222121 
20150415,10298311 
20150416,10709675 
20150417,10335454 
20150418,11154393 
20150419,9574545 
20150420,10639393 
20150421,9698116 
20150422,10349653 
20150423,9477813 
20150424,9694913 
20150425,12167727 
20150426,15054004 
20150427,11522532 
20150428,9388614 
20150429,10774718 
20150430,9371168 
20150501,8737467 
20150502,10862878 
20150503,9418008 
20150504,10475497 
20150505,9730887 
20150506,10778095 
20150507,10196536 
20150508,10715108 
20150509,12175822 
20150510,10357034 
20150511,9617748 
20150512,9540928 
20150513,10658095 
20150514,11652294 
20150515,9841666 
20150516,11947251 
20150517,10006883 
20150518,10569242 
20150519,10370887 
20150520,9289848 
20150521,9436623 
20150522,10564437 
20150523,11661558 
20150524,11679112 
20150525,8039025 
20150526,9055259 
20150527,10527727 
20150528,9440172 
20150529,11717943 
20150530,11612402 
20150531,10131212 
20150601,11268982 
20150602,9135757 
20150603,10007121 
20150604,10777337 
20150605,11477164 
20150606,11861644 
20150607,10247251 
20150608,11262316 
20150609,10541407 
20150610,8334956 
20150611,9602142 
20150612,11301471 
20150613,10086428 
20150614,12515108 
20150615,9581342 
20150616,8980995 
20150617,9465433 
20150618,9217078 
20150619,10396385 
20150620,8932727 
20150621,10401428 
20150622,9981991 
20150623,8972900 
20150624,8437467 
20150625,9294826 
20150626,9289199 
20150627,10130519 
20150628,10292099 
20150629,8750670 
20150630,10681818 
20150701,9719826 
20150702,10676255 
20150703,11115973 
20150704,11109348 
20150705,10311298 
20150706,9999242 
20150707,8819999 
20150708,10546039 
20150709,9558396 
20150710,10362034 
20150711,11215064 
20150712,9607573 
20150713,9497619 
20150714,10614913 
20150715,9899328 
20150716,10673376 
20150717,9940822 
20150718,9308441 
20150719,9154675 
20150720,9814978 
20150721,9329891 
20150722,9113528 
20150723,8269350 
20150724,9432034 
20150725,9143874 
20150726,10499285 
20150727,9829502 
20150728,8492770 
20150729,10520671 
20150730,10047900 
20150731,9372164 
20150801,9235411 
20150802,10833225 
20150803,10448571 
20150804,10308138 
20150805,9645584 
20150806,8983203 
20150807,11414978 
20150808,11708222 
20150809,9990194 
20150810,10171125 
20150811,11603614 
20150812,11160259 
20150813,9559826 
20150814,11410238 
20150815,10702294 
20150816,10644480 
20150817,10194588 
20150818,10060324 
20150819,10680281 
20150820,9660043 
20150821,10058346 
20150822,11982662 
20150823,10863982 
20150824,8148030 
20150825,10057965 
20150826,11297619 
20150827,10421385 
20150828,11843636 
20150829,9857554 
20150830,10492943 
20150831,12154142 
20150901,10856839 
20150902,11400000 
20150903,9750497 
20150904,9072142 
20150905,12799394 
20150906,10630800 
20150907,11847878 
20150908,9144826 
20150909,9010129 
20150910,11132012 
20150911,11037748 
20150912,12154588 
20150913,12103831 
20150914,9445736 
20150915,9326320 
20150916,11450742 
20150917,10573484 
20150918,12818787 
20150919,11333441 
20150920,11148787 
20150921,11219805 
20150922,10413831 
20150923,11891926 
20150924,12069740 
20150925,11819026 
20150926,13590454 
20150927,12848831 
20150928,10570346 
20150929,10855259 
20150930,10194047 
20151001,12069480 
20151002,11870021 
20151003,13359891 
20151004,12454740 
20151005,11328181 
20151006,10755606 
20151007,11214805 
20151008,11031645 
20151009,10781623 
20151010,12190519 
20151011,11921904 
20151012,10619328 
20151013,10267770 
20151014,11282922 
20151015,10717727 
20151016,12494242 
20151017,11916926 
20151018,14148744 
20151019,11036818 
20151020,13076688 
20151021,11436710 
20151022,10795497 
20151023,12335498 
20151024,12648160 
20151025,11380454 
20151026,10260346 
20151027,11954956 
20151028,11274155 
20151029,12049458 
20151030,14712705 
20151031,13578484 
20151101,12827922 
20151102,10666363 
20151103,13207792 
20151104,11954394 
20151105,13676991 
20151106,11365519 
20151107,14196103 
20151108,13807186 
20151109,11591666 
20151110,11548853 
20151111,12443203 
20151112,13808247 
20151113,13199870 
20151114,14967316 
20151115,13179415 
20151116,13479502 
20151117,12532446 
20151118,15006342 
20151119,14554957 
20151120,13026212 
20151121,11809069 
20151122,10893355 
20151123,11546298 
20151124,13438658 
20151125,13472792 
20151126,13683658 
20151127,11246883 
20151128,13430909 
20151129,11517164 
20151130,12124480 
20151201,11746298 
20151202,10137943 
20151203,10721017 
20151204,11324697 
20151205,11540671 
20151206,10837878 
20151207,9644826 
20151208,10708571 
20151209,10890736 
20151210,10091926 
20151211,10457684 
20151212,11030108 
20151213,11481368 
20151214,10348961 
20151215,11624480 
20151216,10102207 
20151217,8971493 
20151218,10675935 
20151219,8344740 
20151220,10045186 
20151221,10660519 
20151222,9873584 
20151223,9666766 
20151224,16117943 
20151225,12299307 
20151226,12482597 
20151227,10845801 
20151228,10248441 
20151229,9846190 
20151230,8953701 
20151231,12053052 
20160101,13124567 
20160102,10054762 
20160103,10654892 
20160104,10908896 
20160105,12082706 
20160106,10126515 
20160107,10110173 
20160108,9373030 
20160109,10778701 
20160110,10826710 
20160111,10859654 
20160112,9749719 
20160113,9951905 
20160114,11126255 
20160115,11195541 
20160116,11506796 
20160117,12127424 
20160118,10801212 
20160119,10958441 
20160120,10932706 
20160121,10189957 
20160122,11072814 
20160123,10755563 
20160124,12451428 
20160125,9733593 
20160126,9913571 
20160127,11829502 
20160128,9536407 
20160129,9934307 
20160130,11956060 
20160131,10911341 
20160201,9394069 
20160202,10578333 
20160203,11227056 
20160204,12089956 
20160205,11498831 
20160206,11381298 
20160207,21701450 
20160208,17348614 
20160209,14178355 
20160210,14431277 
20160211,13934870 
20160212,14154329 
20160213,11816017 
20160214,12962056 
20160215,11016017 
20160216,10338636 
20160217,8171666 
20160218,9865627 
20160219,9523701 
20160220,10328852 
20160221,11767922 
20160222,11098744 
20160223,9986299 
20160224,9418896 
20160225,11260303 
20160226,10165584 
20160227,11016342 
20160228,12903420 
20160301,11919567 
20160302,12997337 
20160303,11483415 
20160304,11693831 
20160305,12201342 
20160306,13094913 
20160307,10350389 
20160308,14665303 
20160309,9862337 
20160310,11538744 
20160311,11769134 
20160312,11492402 
20160313,10769242 
20160314,11712770 
20160315,12738030 
20160316,9737662 
20160317,9983290 
20160318,9855043 
20160319,11729891 
20160320,12887814 
20160321,12373290 
20160322,11211969 
20160323,11275519 
20160324,11584610 
20160325,10190130 
20160326,11319350 
20160327,12672640 
20160328,9980432 
20160329,10447597 
20160330,10018701 
20160331,12733939 
20160401,10311688 
20160402,11277813 
20160403,11503874 
20160404,10439134 
20160405,10319891 
20160406,10794956 
20160407,10300108 
20160408,12412229 
20160409,10909675 
20160410,15146168 
20160411,11301493 
20160412,12248939 
20160413,11809134 
20160414,13190497 
20160415,13717034 
20160416,12902749 
20160417,13237597 
20160418,11131623 
20160419,11976320 
20160420,12672619 
20160421,13222143 
20160422,13195671 
20160423,13320086 
20160424,13083333 
20160425,10793874 
20160426,11608138 
20160427,12615497 
20160428,12809935 
20160429,13892316 
20160430,14241796 
20160501,13196580 
20160502,12561775 
20160503,14251450 
20160504,11458182 
20160505,13346602 
20160506,12963398 
20160507,12698030 
20160508,12944221 
20160509,14283333 
20160510,12469480 
20160511,12551710 
20160512,13360195 
20160513,13085216 
20160514,12944156 
20160515,13607619 
20160516,12168701 
20160517,12573723 
20160518,12434653 
