"ef_date","total_amount"
20130807,32079151 
20130808,17804307 
20130809,20036497 
20130810,22347744 
20130811,24757157 
20130812,19373995 
20130813,19577458 
20130814,22474664 
20130815,18021186 
20130816,14699668 
20130817,21987528 
20130818,19739973 
20130819,18497783 
20130820,17436606 
20130821,16851229 
20130822,18165458 
20130823,15380640 
20130824,22685333 
20130825,27781045 
20130826,16641761 
20130827,17982060 
20130828,17591118 
20130829,18154270 
20130830,18108515 
20130831,26600766 
20130901,27218645 
20130902,26250229 
20130903,19601852 
20130904,17556558 
20130905,17796896 
20130906,16476684 
20130907,24181920 
20130908,26847082 
20130909,15765450 
20130910,15668039 
20130911,17968930 
20130912,18496536 
20130913,26602796 
20130914,23417381 
20130915,25081757 
20130916,17769450 
20130917,19006675 
20130918,20872489 
20130919,17240212 
20130920,16073723 
20130921,24146177 
20130922,29946567 
20130923,18485502 
20130924,16611562 
20130925,17799606 
20130926,15292112 
20130927,19141229 
20130928,26636567 
20130929,23837645 
20130930,17304982 
20131001,19507623 
20131002,17184532 
20131003,19194684 
20131004,21073376 
20131005,25703844 
20131006,20900504 
20131007,23084619 
20131008,20327844 
20131009,21551679 
20131010,23140878 
20131011,19627952 
20131012,29516467 
20131013,25603640 
20131014,15777160 
20131015,20692792 
20131016,17752125 
20131017,17168225 
20131018,20266034 
20131019,27678675 
20131020,29204861 
20131021,23027186 
20131022,21486805 
20131023,23587341 
20131024,22894807 
20131025,19316653 
20131026,30223026 
20131027,28387978 
20131028,23492761 
20131029,23313411 
20131030,21772000 
20131031,23485095 
20131101,25025324 
20131102,29153311 
20131103,32715259 
20131104,24253047 
20131105,21636316 
20131106,26023865 
20131107,28357441 
20131108,24344991 
20131109,28821060 
20131110,32448722 
20131111,31787394 
20131112,20972069 
20131113,25228818 
20131114,28012194 
20131115,21785575 
20131116,28406640 
20131117,35968770 
20131118,25294543 
20131119,25572298 
20131120,25401194 
20131121,22599874 
20131122,22940510 
20131123,30009415 
20131124,28458744 
20131125,24194104 
20131126,23752099 
