"ef_date","total_amount"
20140717,15978441 
20140718,9959177 
20140719,6909826 
20140720,7963571 
20140721,6325432 
20140722,7055909 
20140723,6030649 
20140724,5996125 
20140725,7592294 
20140726,5737554 
20140727,5955692 
20140728,5291082 
20140729,5119220 
20140730,5863982 
20140731,4369329 
20140801,5063831 
20140802,5665952 
20140803,4654502 
20140804,5549134 
20140805,5935844 
20140806,4960454 
20140807,5724372 
20140808,6768896 
20140809,5960909 
20140810,6899632 
20140811,6009783 
20140812,4725238 
20140813,6479610 
20140814,6820757 
20140815,5768333 
20140816,6749134 
20140817,5526190 
20140818,6798138 
20140819,6004112 
20140820,5399502 
20140821,5189697 
20140822,5833571 
20140823,5417207 
20140824,6420584 
20140825,6226450 
20140826,6107034 
20140827,6404913 
20140828,5819978 
20140829,6222727 
20140830,5722424 
20140831,4712770 
20140901,6620844 
20140902,7014134 
20140903,6586104 
20140904,7013008 
20140905,7628592 
20140906,6712489 
20140907,7895606 
20140908,4966904 
20140909,6929328 
20140910,6395670 
20140911,6618052 
20140912,5761861 
20140913,6988268 
20140914,7803203 
20140915,9315692 
20140916,6186904 
20140917,6064567 
20140918,5899935 
20140919,6317056 
20140920,6113571 
20140921,6213225 
20140922,5795541 
20140923,6040692 
20140924,6352402 
20140925,6450021 
20140926,6476472 
20140927,7834848 
20140928,8167077 
20140929,6650432 
20140930,6994870 
20141001,6605909 
20141002,6183290 
20141003,6247900 
20141004,7100281 
20141005,6399675 
20141006,6606882 
20141007,7287813 
20141008,6608376 
20141009,7581103 
20141010,8163896 
20141011,8157489 
20141012,9118246 
20141013,7456515 
20141014,8447056 
20141015,7480865 
20141016,6907164 
20141017,5628549 
20141018,8758073 
20141019,8379740 
20141020,8413939 
20141021,7499437 
20141022,6726666 
20141023,6474826 
20141024,7317619 
20141025,8294567 
20141026,8781298 
20141027,7259286 
20141028,7994545 
20141029,6555411 
20141030,7698723 
20141031,8276688 
20141101,9524350 
20141102,8238571 
20141103,7248203 
20141104,7761212 
20141105,9375195 
20141106,7211082 
20141107,7554783 
20141108,7822987 
20141109,8974870 
20141110,8764567 
20141111,8337510 
20141112,8423441 
20141113,6945887 
20141114,7194242 
20141115,8002207 
20141116,8893636 
20141117,7611818 
20141118,7368138 
20141119,6527511 
20141120,9089112 
20141121,7784567 
20141122,7970043 
20141123,8197900 
20141124,6965671 
20141125,7258982 
20141126,7239956 
20141127,7833420 
20141128,7174199 
20141129,7480134 
20141130,8824311 
20141201,8647922 
20141202,7322125 
20141203,8456428 
20141204,8049805 
20141205,7346190 
20141206,9249264 
20141207,9644458 
20141208,7724952 
20141209,8519385 
20141210,6538182 
20141211,7590065 
20141212,7264004 
20141213,7671948 
20141214,6866190 
20141215,7319108 
20141216,6870766 
20141217,8154588 
20141218,8028355 
20141219,7629112 
20141220,7642013 
20141221,8184783 
20141222,7805151 
20141223,10378878 
20141224,15124917 
20141225,11236861 
20141226,7871645 
20141227,9853831 
20141228,8846255 
20141229,7413246 
20141230,7033376 
20141231,7964264 
20150101,9849567 
20150102,5920021 
20150103,5461688 
20150104,6736277 
20150105,5727229 
20150106,6744697 
20150107,7429199 
20150108,7590129 
20150109,8115692 
20150110,8091861 
20150111,8446515 
20150112,6531363 
20150113,6523290 
20150114,6652705 
20150115,7774567 
20150116,6776039 
20150117,8366861 
20150118,8836818 
