"ef_date","total_amount"
20131217,18762857 
20131218,11415108 
20131219,13003463 
20131220,12923376 
20131221,8984285 
20131222,8879740 
20131223,7858744 
20131224,12291125 
20131225,7496169 
20131226,8054134 
20131227,9853268 
20131228,9802768 
20131229,9428506 
20131230,10665238 
20131231,13111342 
20140101,13387359 
20140102,9323485 
20140103,9872272 
20140104,8853766 
20140105,9127034 
20140106,7724805 
20140107,9197142 
20140108,11589156 
20140109,10682575 
20140110,10147792 
20140111,10308852 
20140112,8708484 
20140113,9336688 
20140114,12125930 
20140115,9733939 
20140116,10750562 
20140117,9546645 
20140118,8833788 
20140119,9178420 
20140120,9586861 
20140121,11307835 
20140122,9753679 
20140123,10310822 
20140124,8209805 
20140125,13526753 
20140126,8899069 
20140127,9905930 
20140128,9569242 
20140129,8561623 
20140130,14077294 
20140131,10151796 
20140201,8530779 
20140202,12218073 
20140203,9191861 
20140204,9310324 
20140205,7965627 
20140206,10013008 
20140207,10549762 
20140208,11092445 
20140209,7330346 
20140210,9639653 
20140211,9568246 
20140212,12182943 
20140213,11576039 
20140214,12000346 
20140215,10982489 
20140216,8682835 
20140217,11502446 
20140218,9658225 
20140219,9362792 
20140220,8925974 
20140221,9733484 
20140222,9747727 
20140223,8343398 
20140224,8594372 
20140225,10628636 
20140226,10281407 
20140227,9508073 
20140228,9540887 
20140301,9520324 
20140302,9941883 
20140303,9824391 
20140304,8829956 
20140305,11436190 
20140306,10830454 
20140307,11935714 
20140308,10319805 
20140309,7122013 
20140310,9073073 
20140311,9196472 
20140312,9804502 
20140313,10291255 
20140314,9088311 
20140315,9460584 
20140316,9932987 
20140317,8885021 
20140318,9398679 
20140319,11372078 
20140320,10800909 
20140321,11061450 
20140322,10142164 
20140323,8026645 
20140324,11056969 
20140325,9215952 
20140326,11280173 
20140327,9349588 
20140328,8512142 
20140329,10956471 
20140330,7824372 
20140331,8495389 
20140401,8652749 
20140402,7708982 
20140403,9638441 
20140404,9802467 
20140405,10739480 
20140406,9025389 
20140407,7731292 
20140408,8045725 
20140409,8611298 
20140410,9673625 
20140411,9756350 
20140412,9712233 
20140413,9751688 
20140414,7578051 
20140415,8948671 
20140416,10485415 
20140417,10973958 
20140418,11238878 
20140419,10825898 
20140420,9185651 
20140421,9516900 
20140422,13032350 
20140423,11626242 
20140424,10685909 
20140425,11758941 
20140426,11338945 
20140427,8677826 
20140428,9466257 
20140429,11859972 
20140430,10463194 
20140501,9495353 
20140502,10036493 
20140503,8960108 
20140504,8572381 
20140505,7755887 
20140506,9263160 
20140507,9149902 
20140508,8217930 
20140509,10185675 
20140510,11831627 
20140511,10878580 
20140512,8445043 
20140513,10870017 
20140514,9346168 
20140515,9244138 
20140516,9076103 
20140517,8860303 
20140518,8180281 
20140519,9823246 
20140520,9644229 
20140521,8964064 
20140522,10186043 
20140523,8555922 
20140524,8178129 
20140525,9125775 
20140526,8469000 
20140527,8335935 
20140528,8865588 
20140529,10332065 
20140530,9553013 
20140531,10833407 
