"ef_date","total_amount"
20140703,17978225 
20140704,6467727 
20140705,8250021 
20140706,5807121 
20140707,7602185 
20140708,7159869 
20140709,6787488 
20140710,6704545 
20140711,6901753 
20140712,5381515 
20140713,6514891 
20140714,4188138 
20140715,5819934 
20140716,4594978 
20140717,4906882 
20140718,5978614 
20140719,5601298 
20140720,4694502 
20140721,4605735 
20140722,5419718 
20140723,6486406 
20140724,4850432 
20140725,6835497 
20140726,5331666 
20140727,6645605 
20140728,4421428 
20140729,4715129 
20140730,3989393 
20140731,4303333 
20140801,5685151 
20140802,5743484 
20140803,4261341 
20140804,5018073 
20140805,4722077 
20140806,5912510 
20140807,4591190 
20140808,5475865 
20140809,6283809 
20140810,6611796 
20140811,6239978 
20140812,6462056 
20140813,6384891 
20140814,5754826 
20140815,7192943 
20140816,6236363 
20140817,5194632 
20140818,6378116 
20140819,8024761 
20140820,6919199 
20140821,7014069 
20140822,7592510 
20140823,6514177 
20140824,5601190 
20140825,6296255 
20140826,7569393 
20140827,5593636 
20140828,8630540 
20140829,7961579 
20140830,5812272 
20140831,5442207 
20140901,5778787 
20140902,6519047 
20140903,6060973 
20140904,8216796 
20140905,6916493 
20140906,5189069 
20140907,6934761 
20140908,5193224 
20140909,6438809 
20140910,6929632 
20140911,6702900 
20140912,8425389 
20140913,7191774 
20140914,7686233 
20140915,6516731 
20140916,8454372 
20140917,7163571 
20140918,7922618 
20140919,7228419 
20140920,6460259 
20140921,6325389 
20140922,6709718 
20140923,8448051 
20140924,6673051 
20140925,6505714 
20140926,8324545 
20140927,6634285 
20140928,8421233 
20140929,7172445 
20140930,6859891 
20141001,6075259 
20141002,9604761 
20141003,8515779 
20141004,8637294 
20141005,7706385 
20141006,7388116 
20141007,8846385 
20141008,6868354 
20141009,6888224 
20141010,11182770 
20141011,8437878 
20141012,9089004 
20141013,7074848 
20141014,8317099 
20141015,7430670 
20141016,7616580 
20141017,9537661 
20141018,7774804 
20141019,7444437 
20141020,7476883 
20141021,8878246 
20141022,7741623 
20141023,7000302 
20141024,11386666 
20141025,12074242 
20141026,10072251 
20141027,10312640 
20141028,9036580 
20141029,10124437 
20141030,11113419 
20141031,12041796 
20141101,14364978 
20141102,12330605 
20141103,9402034 
20141104,10221796 
20141105,10838398 
20141106,9783528 
20141107,10894394 
20141108,12754285 
20141109,10697532 
20141110,12043051 
20141111,9910389 
20141112,9698354 
20141113,10929740 
20141114,11280411 
20141115,12401363 
20141116,11619610 
20141117,10593376 
20141118,10780779 
20141119,10983679 
20141120,10749372 
20141121,9687272 
20141122,10826363 
20141123,11185043 
20141124,9320800 
20141125,9338874 
20141126,9837445 
20141127,11418766 
20141128,10751341 
20141129,13849372 
20141130,11116601 
20141201,10867424 
20141202,10205108 
20141203,9901839 
20141204,12641290 
20141205,12184242 
20141206,16992554 
20141207,10916484 
20141208,10089571 
20141209,8251744 
20141210,9842078 
20141211,11838896 
20141212,11140562 
20141213,11384796 
20141214,10504155 
20141215,10363484 
20141216,8920381 
20141217,11000324 
20141218,9961818 
20141219,9264523 
20141220,9635324 
20141221,9974913 
20141222,11661666 
20141223,9394212 
20141224,18888186 
20141225,12961710 
20141226,9803506 
20141227,10375995 
20141228,10796536 
20141229,8332359 
20141230,9260606 
20141231,10142445 
20150101,12869264 
20150102,10404956 
20150103,8400714 
20150104,9808506 
20150105,11322294 
