"ef_date","total_amount"
20130926,31757576 
20130927,17234320 
20130928,14903801 
20130929,15844978 
20130930,14512381 
20131001,14709926 
20131002,13648593 
20131003,13814199 
20131004,16412316 
20131005,12694329 
20131006,11221060 
20131007,11170597 
20131008,11683181 
20131009,11662164 
20131010,11105822 
20131011,11592034 
20131012,13038528 
20131013,10910519 
20131014,11209956 
20131015,11406363 
20131016,11087498 
20131017,10430108 
20131018,13042186 
20131019,10780303 
20131020,10720987 
20131021,11929497 
20131022,11837259 
20131023,13345000 
20131024,12316537 
20131025,13322684 
20131026,12136593 
20131027,11425411 
20131028,12780324 
20131029,13444892 
20131030,12782034 
20131031,13487597 
20131101,15115108 
20131102,12245290 
20131103,13062662 
20131104,13036017 
20131105,13613376 
20131106,12617740 
20131107,23745160 
20131108,12683766 
20131109,11738982 
20131110,11809632 
20131111,11407556 
20131112,12828052 
20131113,12530866 
20131114,13407437 
20131115,12799247 
20131116,12731320 
20131117,14069578 
20131118,13790649 
20131119,14927402 
20131120,14814415 
20131121,13224459 
20131122,11924199 
20131123,14509048 
20131124,9823680 
20131125,12878732 
20131126,10687467 
20131127,12359870 
20131128,12154641 
20131129,13318182 
20131130,13725424 
20131201,11790653 
20131202,10643918 
20131203,13865073 
20131204,13624220 
20131205,13980779 
20131206,13115324 
20131207,12092013 
20131208,11841039 
20131209,11403268 
20131210,12450918 
20131211,13816169 
20131212,12208982 
20131213,13829827 
20131214,13027749 
20131215,12333485 
20131216,13602792 
20131217,15181753 
20131218,12790697 
20131219,12372100 
20131220,14778918 
20131221,12972879 
20131222,12830952 
20131223,12142251 
20131224,15475355 
20131225,14523333 
20131226,10544926 
20131227,12384351 
20131228,13916441 
20131229,12933117 
20131230,10910433 
20131231,13534740 
20140101,13318355 
20140102,12123506 
20140103,12842381 
20140104,14870433 
20140105,12444865 
20140106,11692229 
20140107,10699350 
20140108,12823268 
20140109,12352294 
20140110,13098376 
20140111,12174632 
20140112,12421883 
20140113,12781320 
20140114,12484654 
20140115,21575216 
20140116,11274394 
20140117,12392532 
20140118,12557489 
20140119,10470454 
20140120,10477900 
20140121,13006320 
20140122,12330562 
20140123,16637402 
20140124,14031623 
20140125,12912467 
20140126,9035714 
20140127,11065930 
20140128,14333095 
20140129,13725645 
20140130,17383441 
20140131,12330822 
20140201,13214091 
20140202,12198398 
20140203,12704458 
20140204,13049026 
20140205,9306623 
20140206,14850735 
20140207,13170086 
20140208,10899307 
20140209,9956212 
20140210,12204523 
20140211,12321688 
20140212,10873571 
20140213,13195346 
20140214,16617878 
20140215,12407207 
20140216,10479199 
20140217,11118398 
20140218,13459805 
20140219,12161450 
20140220,11888463 
20140221,12399892 
20140222,12752294 
20140223,10063355 
20140224,11256731 
20140225,12587164 
20140226,14463961 
20140227,16799913 
20140228,13131840 
20140301,13153485 
20140302,11125389 
20140303,11114710 
20140304,11635411 
20140305,13581320 
20140306,12523463 
20140307,16165368 
20140308,15009783 
20140309,10716645 
20140310,11717056 
20140311,14210757 
20140312,12951731 
20140313,13561840 
20140314,15413917 
20140315,13948766 
20140316,11157987 
20140317,13012208 
20140318,12178614 
20140319,14186515 
20140320,11398182 
20140321,13790368 
20140322,12854545 
20140323,11050584 
20140324,11184091 
20140325,11806580 
20140326,12748485 
20140327,13662597 
20140328,11774220 
20140329,11375736 
20140330,12307987 
20140331,12407121 
20140401,15411493 
20140402,12754524 
20140403,13222575 
20140404,14534091 
20140405,14320909 
20140406,14353333 
20140407,12964385 
20140408,13917987 
20140409,13177011 
20140410,11316413 
20140411,11512327 
20140412,13388320 
20140413,12724946 
20140414,15342630 
20140415,12257374 
20140416,14804433 
20140417,13717842 
20140418,13264171 
20140419,12570755 
20140420,11406099 
20140421,13800329 
20140422,14476383 
20140423,14649654 
20140424,15196292 
20140425,12963918 
20140426,15676720 
20140427,13531359 
20140428,14277515 
20140429,14312859 
20140430,12637050 
20140501,12237608 
20140502,14995207 
20140503,11847519 
20140504,13419660 
20140505,14439192 
20140506,15422991 
20140507,15014268 
20140508,16088264 
20140509,16816671 
20140510,13034614 
20140511,13687181 
20140512,16450173 
20140513,15986601 
20140514,17858026 
20140515,14693896 
20140516,16454515 
20140517,13407818 
20140518,15541839 
20140519,15018705 
20140520,17667497 
20140521,15196870 
20140522,17141497 
20140523,14922697 
20140524,13236194 
20140525,12594666 
20140526,17211983 
20140527,15390792 
20140528,15966974 
20140529,16001060 
20140530,14833350 
20140531,13852887 
20140601,12810900 
20140602,13498649 
20140603,15624796 
20140604,14574485 
20140605,15724857 
20140606,14899476 
20140607,12757424 
20140608,14126195 
20140609,14103498 
20140610,14113809 
20140611,14762532 
20140612,14238982 
20140613,16378268 
20140614,13307186 
20140615,15764112 
20140616,12348614 
20140617,13356103 
20140618,12969091 
20140619,15667965 
20140620,14262662 
20140621,15689978 
20140622,15053160 
20140623,14582402 
20140624,12301212 
20140625,15036168 
20140626,13916666 
20140627,13934285 
20140628,12836147 
20140629,14067471 
20140630,14244199 
20140701,19490108 
20140702,18073939 
20140703,17317337 
20140704,15924242 
20140705,16315194 
20140706,12573787 
20140707,17494697 
20140708,17701796 
20140709,16213095 
20140710,16028593 
20140711,16488593 
20140712,13847770 
20140713,14640454 
20140714,14460887 
20140715,14516774 
20140716,14176212 
20140717,15127683 
20140718,18523095 
20140719,14089091 
20140720,14936147 
20140721,15086688 
20140722,13567770 
20140723,14137424 
20140724,17835973 
20140725,16310930 
20140726,18767272 
20140727,14527532 
20140728,14783982 
20140729,16647207 
20140730,15230952 
20140731,16383766 
20140801,18653181 
20140802,13168311 
20140803,12513419 
20140804,14282207 
20140805,14942229 
20140806,15324112 
20140807,15893571 
20140808,15973484 
20140809,15894848 
20140810,11806147 
20140811,15566905 
20140812,16424826 
20140813,17658982 
20140814,16231039 
20140815,16022337 
20140816,16090995 
20140817,12485952 
20140818,14906125 
20140819,16168657 
20140820,15571147 
20140821,11381103 
20140822,13292445 
20140823,12981688 
20140824,12939696 
20140825,12533225 
20140826,13259999 
20140827,13145194 
20140828,15117489 
20140829,13297402 
20140830,14995519 
20140831,10410519 
20140901,13046298 
20140902,12634545 
20140903,16062943 
20140904,15965909 
20140905,15434653 
20140906,13537987 
20140907,12062662 
20140908,17842684 
20140909,13508506 
20140910,13891558 
20140911,14939805 
20140912,14538593 
20140913,13891926 
20140914,13984437 
20140915,14910194 
20140916,15395757 
20140917,16525562 
20140918,16164697 
20140919,15150649 
20140920,13911623 
20140921,15723744 
20140922,15003528 
20140923,16211883 
20140924,15920735 
20140925,14009069 
20140926,17369588 
20140927,17519956 
20140928,14375389 
20140929,16310129 
20140930,16995930 
20141001,16030995 
20141002,20586168 
20141003,19231103 
20141004,17403744 
20141005,14570952 
20141006,15036450 
20141007,16574263 
20141008,15681904 
20141009,14424177 
20141010,18390800 
20141011,15243073 
20141012,12827965 
20141013,14716341 
20141014,13826515 
20141015,15702077 
20141016,16028658 
20141017,18422445 
20141018,18504393 
20141019,15568657 
20141020,17309999 
20141021,16626904 
20141022,14120779 
20141023,16989631 
20141024,17585108 
20141025,16652900 
20141026,14521060 
20141027,17101147 
20141028,18010346 
20141029,18150952 
20141030,19108160 
20141031,17995281 
20141101,17644610 
20141102,14793852 
20141103,18436602 
20141104,17054134 
20141105,20276298 
20141106,20467532 
20141107,17046168 
20141108,17890541 
20141109,16894632 
20141110,18772207 
20141111,16776969 
20141112,17383463 
20141113,18846580 
20141114,17881710 
20141115,19213961 
20141116,17809069 
20141117,19784026 
20141118,18344740 
20141119,18174870 
20141120,19019718 
20141121,17345736 
20141122,13122097 
20141123,12800476 
20141124,16068333 
20141125,17399307 
20141126,18041190 
20141127,18237748 
20141128,18025952 
20141129,18016320 
20141130,14482045 
20141201,19037489 
20141202,15255909 
20141203,18083844 
20141204,16870692 
20141205,17864913 
20141206,22028333 
20141207,15840346 
20141208,16957177 
20141209,16012619 
20141210,15084372 
20141211,18607645 
20141212,17561686 
20141213,16639307 
20141214,14266796 
20141215,17705692 
20141216,16249870 
20141217,15813008 
20141218,17910606 
20141219,17011816 
20141220,18641234 
20141221,15987861 
20141222,17665541 
20141223,16603324 
20141224,23740805 
20141225,23063744 
20141226,18785779 
20141227,20957511 
20141228,16769350 
20141229,15901556 
20141230,16690995 
20141231,20632446 
20150101,18470628 
20150102,14568463 
20150103,14376104 
20150104,14967143 
20150105,14515151 
20150106,13840281 
20150107,16393071 
20150108,14602965 
20150109,17188420 
20150110,14207294 
20150111,12028355 
20150112,14535647 
20150113,15237770 
20150114,14901904 
20150115,16654026 
20150116,18124805 
20150117,17178939 
20150118,15605043 
20150119,16282792 
20150120,13310086 
20150121,17108376 
20150122,15851147 
20150123,17206318 
20150124,16989002 
20150125,13794852 
20150126,13738182 
20150127,15668420 
20150128,14298571 
20150129,17378268 
20150130,17449870 
20150131,15395498 
20150201,15345355 
20150202,17100084 
20150203,15199268 
20150204,25737272 
20150205,16569818 
20150206,17930801 
20150207,16059818 
20150208,14777766 
20150209,16880498 
20150210,14985324 
20150211,15748181 
20150212,20202601 
20150213,16532831 
20150214,16885143 
20150215,15526060 
20150216,11547424 
20150217,14987229 
20150218,15977212 
20150219,14566653 
20150220,15800324 
20150221,14876450 
20150222,15193615 
20150223,17539039 
20150224,13328337 
20150225,17093550 
20150226,15876104 
20150227,17961246 
20150228,14456212 
20150301,12837186 
20150302,16867960 
20150303,12929437 
20150304,16341385 
20150305,17609491 
20150306,15424733 
20150307,17204346 
20150308,16024218 
20150309,15881948 
20150310,15819307 
20150311,17531645 
20150312,16979177 
