"ef_date","total_amount"
20140624,22469632 
20140625,13165887 
20140626,14033311 
20140627,8623420 
20140628,8713701 
20140629,9465303 
20140630,7660606 
20140701,9025238 
20140702,9018679 
20140703,8968874 
20140704,8283333 
20140705,4049913 
20140706,3899826 
20140707,8603138 
20140708,10169718 
20140709,8289394 
20140710,7948614 
20140711,7678203 
20140712,9389155 
20140713,7410649 
20140714,8971645 
20140715,8894502 
20140716,10029242 
20140717,8489004 
20140718,8492186 
20140719,8897987 
20140720,9087424 
20140721,8120909 
20140722,8086861 
20140723,7384264 
20140724,7636580 
20140725,8049329 
20140726,9041515 
20140727,7925519 
20140728,6851580 
20140729,7158355 
20140730,8030173 
20140731,8313484 
20140801,8088138 
20140802,7420324 
20140803,6561233 
20140804,7888896 
20140805,7026666 
20140806,6630173 
20140807,9576796 
20140808,9278766 
20140809,7362943 
20140810,9624653 
20140811,8539870 
20140812,8517770 
20140813,9523268 
20140814,9438463 
20140815,7852813 
20140816,10192835 
20140817,8615584 
20140818,8092662 
20140819,9130562 
20140820,9262987 
20140821,8826601 
20140822,9406948 
20140823,8729675 
20140824,7941969 
20140825,8219826 
20140826,8811558 
20140827,8148809 
20140828,7746601 
20140829,9100671 
20140830,8610995 
20140831,8469155 
20140901,6999783 
20140902,9903636 
20140903,10030649 
20140904,9567575 
20140905,8890454 
20140906,8518874 
20140907,9902749 
20140908,8792705 
20140909,7694004 
20140910,8433463 
20140911,8555606 
20140912,9422835 
20140913,10592272 
20140914,8090324 
20140915,9118484 
20140916,7498904 
20140917,8352034 
20140918,9967554 
20140919,7888506 
20140920,10535887 
20140921,8679091 
20140922,10068636 
20140923,8146904 
20140924,8824632 
20140925,7885822 
20140926,9981515 
20140927,9153961 
20140928,9207251 
20140929,7749394 
20140930,9828181 
20141001,8941082 
20141002,10683658 
20141003,9354935 
20141004,9264502 
20141005,11021969 
20141006,9513160 
20141007,8276991 
20141008,9667077 
20141009,9625086 
20141010,9928463 
20141011,9504826 
20141012,10688506 
20141013,9857813 
20141014,10645194 
20141015,9156623 
20141016,7646493 
20141017,9061125 
20141018,9268723 
20141019,10272705 
20141020,8481580 
20141021,9775281 
20141022,8421407 
20141023,8788982 
20141024,8432705 
20141025,10691861 
20141026,9554372 
20141027,10765151 
20141028,10307337 
20141029,10122532 
20141030,9354783 
20141031,10188658 
20141101,12370562 
20141102,11242316 
20141103,9090779 
20141104,8947207 
20141105,9022792 
20141106,9241904 
20141107,11190043 
20141108,11414783 
20141109,11233484 
20141110,10859307 
20141111,10759783 
20141112,11392272 
20141113,11589545 
20141114,12885757 
20141115,13503723 
20141116,12117099 
20141117,11863982 
20141118,10093117 
20141119,11766082 
20141120,12090021 
20141121,11481190 
20141122,11519025 
20141123,10492510 
20141124,10810714 
20141125,9354091 
20141126,10627316 
20141127,11153052 
20141128,10522792 
20141129,15240411 
20141130,14236277 
20141201,9808679 
20141202,10867814 
20141203,11534740 
20141204,12114052 
20141205,13306818 
20141206,12317121 
20141207,12407792 
20141208,12713593 
20141209,11215316 
20141210,10098030 
20141211,12385757 
20141212,13128896 
20141213,10715649 
20141214,10478151 
20141215,9326905 
20141216,11726753 
20141217,10606818 
20141218,8068844 
20141219,10478939 
20141220,11937965 
20141221,11731883 
20141222,10819710 
20141223,12049459 
20141224,19477251 
20141225,16107316 
20141226,11768982 
20141227,13092186 
20141228,10728809 
20141229,11783160 
20141230,12279047 
20141231,11793896 
20150101,12163788 
20150102,9796147 
20150103,10874264 
20150104,11393657 
20150105,8595757 
20150106,9314134 
20150107,10563030 
20150108,10686710 
20150109,9218723 
20150110,12196039 
20150111,9794091 
20150112,9319285 
20150113,10806861 
20150114,9240432 
20150115,9472078 
20150116,10642446 
20150117,11884978 
20150118,10220822 
20150119,9703203 
20150120,9307813 
20150121,9030528 
20150122,10538052 
20150123,9463896 
20150124,9672337 
20150125,9350432 
20150126,10061116 
20150127,11344740 
20150128,9997342 
20150129,8970000 
20150130,11677727 
20150131,10890973 
20150201,11293874 
20150202,9826125 
20150203,10817272 
20150204,10330389 
20150205,9665433 
20150206,11105740 
20150207,9974112 
20150208,8774272 
20150209,8732900 
20150210,8250303 
20150211,8843052 
20150212,8940714 
20150213,8873744 
20150214,10053419 
20150215,7952056 
20150216,9858982 
20150217,8799199 
20150218,15164935 
20150219,12395861 
20150220,13143896 
20150221,13187930 
20150222,12627900 
20150223,11566948 
20150224,11310909 
20150225,9742056 
20150226,9811818 
20150227,7742207 
20150228,9277359 
20150301,9511948 
20150302,8746688 
20150303,8968333 
20150304,9091363 
20150305,10369818 
20150306,9388225 
20150307,12296562 
20150308,12384904 
20150309,10542640 
20150310,9744220 
20150311,7920389 
20150312,10583809 
20150313,10952272 
