"ef_date","total_amount"
20130726,4636233 
20130727,2153831 
20130728,8247164 
20130729,3672749 
20130730,4058788 
20130731,2272316 
20130801,2993268 
20130802,4213991 
20130803,1586363 
20130804,7279285 
20130805,3498182 
20130806,1508961 
20130807,3019567 
20130808,2328723 
20130809,1787770 
20130810,1858701 
20130811,2146471 
20130812,2626385 
20130813,1766818 
20130814,4061363 
20130815,2679588 
20130816,5409610 
20130817,4673246 
20130818,8494545 
20130819,2305909 
20130820,3315865 
20130821,3710930 
20130822,3918073 
20130823,2993723 
20130824,2836580 
20130825,7582835 
20130826,3256363 
20130827,2032554 
20130828,4070519 
20130829,4210021 
20130830,1936818 
20130831,8377164 
20130901,11625563 
20130902,11775498 
20130903,2034155 
20130904,2996840 
20130905,4788766 
20130906,1427056 
20130907,3816580 
20130908,4722814 
20130909,2148831 
20130910,1198181 
20130911,2162099 
20130912,1347770 
20130913,2265476 
20130914,4628679 
20130915,9541775 
20130916,2655995 
20130917,3550995 
20130918,3244567 
20130919,8009091 
20130920,2256839 
20130921,2701428 
20130922,5092770 
20130923,3090476 
20130924,3222142 
20130925,3818246 
20130926,2720476 
20130927,4425584 
20130928,7331753 
20130929,4713658 
20130930,3848225 
20131001,3590108 
20131002,916839 
20131003,2383939 
20131004,4752878 
20131005,3196385 
20131006,3322727 
20131007,1628636 
20131008,3910086 
20131009,4456038 
20131010,3175952 
20131013,6571839 
20131014,3359091 
20131015,3144112 
20131016,1700909 
20131017,2307272 
20131018,3732727 
20131019,4123008 
20131020,4283636 
20131021,2702727 
20131022,5682489 
20131023,3360194 
20131024,4653636 
20131025,2665411 
20131026,7278333 
20131027,10793593 
20131028,3509545 
20131029,2389545 
20131030,5258181 
20131031,11678182 
20131101,3476363 
20131102,8193636 
20131103,9370000 
20131104,3325021 
20131105,1922229 
20131106,2278852 
20131107,2847229 
20131108,3840021 
20131109,7713636 
20131110,9263181 
20131111,3050454 
20131112,2862727 
20131113,3833636 
20131114,3950454 
20131115,2828636 
20131116,8275454 
20131117,6119090 
20131118,2604090 
20131119,5154545 
20131120,6000454 
20131121,3073181 
20131122,1777272 
20131123,7490909 
20131124,3718636 
20131125,3799545 
20131126,3206104 
20131127,3401840 
20131128,1972056 
20131129,3332943 
20131130,8195584 
20131201,9738030 
20131202,3344285 
20131203,3206731 
20131204,3094978 
20131205,3449848 
20131206,5059826 
20131207,7462554 
20131208,8451190 
20131209,3398008 
20131210,4017554 
20131211,4056060 
20131212,4252705 
20131213,4016926 
20131214,8019307 
20131215,9334740 
20131216,4284502 
20131217,3126666 
20131218,4058182 
20131219,1516645 
20131220,4426082 
20131221,7903636 
20131222,10569870 
20131223,5576039 
20131224,13433896 
20131225,7018593 
20131226,4841926 
20131227,5485541 
20131228,8793701 
20131229,12088225 
20131230,3152532 
20131231,5914091 
20140101,14134870 
20140102,6613463 
20140103,3638095 
20140104,7124134 
20140105,8593290 
20140106,2877164 
20140107,3716103 
20140108,3964575 
20140109,4004285 
20140110,3753354 
20140111,7904112 
20140112,7471082 
20140113,3356471 
20140114,3265540 
20140115,3107813 
20140116,3408701 
20140117,9533874 
20140118,7852121 
20140119,7153441 
20140120,3123571 
20140121,2764502 
20140122,3793982 
20140123,2946731 
20140124,5578398 
20140125,5143744 
20140126,4410259 
20140127,5072835 
20140128,6420021 
20140129,4565454 
20140130,6161558 
20140131,13120172 
20140201,15067662 
20140202,12699718 
20140203,13351601 
20140204,13867748 
20140205,12079350 
20140206,10597510 
20140207,9685411 
20140208,9318852 
20140209,7801969 
20140210,2893658 
20140211,3553095 
20140212,4032467 
20140213,3932012 
20140214,11206558 
20140215,7023896 
20140216,8587727 
20140217,3417012 
20140218,3680259 
20140219,4529826 
20140220,4885887 
20140221,4755368 
20140222,8777727 
20140223,10326731 
20140224,4456017 
20140225,4744913 
20140226,4322359 
20140227,4738917 
20140228,4851558 
20140301,8054090 
20140302,9670887 
20140303,3937986 
20140304,3633787 
20140305,3811471 
20140306,4397554 
20140307,4747986 
20140308,11430757 
20140309,9837077 
20140310,2664458 
20140311,4264567 
20140312,4244025 
20140313,4386666 
20140314,5262077 
20140315,8918701 
20140316,9778268 
20140317,4020259 
20140318,3892878 
20140319,3565822 
20140320,4181320 
20140321,3385909 
20140322,8262683 
20140323,7847272 
