"ef_date","total_amount"
20140224,38146169 
20140225,21921688 
20140226,18270887 
20140227,15118766 
20140228,13163463 
20140301,11634632 
20140302,11575346 
20140303,13520649 
20140304,15351991 
20140305,7206623 
20140306,8183138 
20140307,8255194 
20140308,4548008 
20140309,1616363 
20140313,2964350 
20140314,5505021 
20140315,7675346 
20140316,8317337 
20140317,13521645 
20140318,7979826 
20140319,8302554 
20140320,9081298 
20140321,7497099 
20140322,9083398 
20140323,7944177 
20140324,8181536 
20140325,9954978 
20140326,8682445 
20140327,7901601 
20140328,9029783 
20140329,8625238 
20140330,9209502 
20140331,10390043 
20140401,10322013 
20140402,9634892 
20140403,11478701 
20140404,9050303 
20140405,7952762 
20140406,9624892 
20140407,10086937 
20140408,7439580 
20140409,10171277 
20140410,9897381 
20140411,9734420 
20140412,10089398 
20140413,9453675 
20140414,11120030 
20140415,8825125 
20140416,8958376 
20140417,11538909 
20140418,9269978 
20140419,8814727 
20140420,9999102 
20140421,9953550 
20140422,10901431 
20140423,10332649 
20140424,10492965 
20140425,9570565 
20140426,11503028 
20140427,9477580 
20140428,9108365 
20140429,6938432 
20140430,8650233 
20140501,3768526 
20140502,4365337 
20140503,5514220 
20140504,10111517 
20140505,10537636 
20140506,11616093 
20140507,10726151 
20140508,10646679 
20140509,10657010 
20140510,9892011 
20140511,10262149 
20140512,11374043 
20140513,13122504 
20140514,11339402 
20140515,11860052 
20140516,12384510 
20140517,14273727 
20140518,12601883 
20140519,11482653 
20140520,11084289 
20140521,11840445 
20140522,13401289 
20140523,10455584 
20140524,9066536 
20140525,10269186 
20140526,12039151 
20140527,12427523 
20140528,11353497 
20140529,13429567 
20140530,9888809 
20140531,12753000 
20140601,11640125 
20140602,13375839 
20140603,11551238 
20140604,11272350 
20140605,13556554 
20140606,11531805 
20140607,10804779 
20140608,16013069 
20140609,12989956 
20140610,13279047 
20140611,12079242 
20140612,13361342 
20140613,12544264 
20140614,11955995 
20140615,8958593 
20140616,10998463 
20140617,11604285 
20140618,10248917 
20140619,11397770 
20140620,11166104 
20140621,8890064 
20140622,9162316 
20140623,6761666 
20140624,7371926 
20140625,7831428 
20140626,7017943 
20140627,7709177 
20140628,6161969 
20140629,6472164 
20140630,7314935 
20140701,7260887 
20140702,10044805 
20140703,15301926 
20140704,11849610 
20140705,10718549 
20140706,7581991 
20140707,10791796 
20140708,10800281 
20140709,8868441 
20140710,9861731 
20140711,5302229 
20140712,5025086 
20140713,7327467 
20140714,7488376 
20140715,5510476 
20140716,4618225 
20140717,4901818 
20140718,4094004 
20140719,4641796 
20140720,4012727 
20140721,4266255 
20140722,4685714 
20140723,4553225 
20140724,4765909 
20140725,4218138 
20140726,4372012 
20140727,4827922 
20140728,4458116 
20140729,5069805 
20140730,3748441 
20140731,4415432 
20140801,4490973 
20140802,3469523 
20140803,3791904 
20140804,4661190 
20140805,3984523 
20140806,4792489 
20140807,5038636 
20140808,4505000 
20140809,4017900 
20140810,3772619 
20140811,5284675 
20140812,4930173 
20140813,5261276 
20140814,5234155 
20140815,4695757 
20140816,5645779 
20140817,7602510 
20140818,6692835 
20140819,5133961 
20140820,5359004 
20140821,5541991 
20140822,8049112 
20140823,6173896 
20140824,6745368 
20140825,8078874 
20140826,6679956 
20140827,7534394 
20140828,8786515 
20140829,11118528 
20140830,8738160 
20140831,10526731 
20140901,11649632 
20140902,19992013 
20140903,27936710 
20140904,28434307 
20140905,26847446 
20140906,23090865 
20140907,26268095 
20140908,27599394 
20140909,26760909 
20140910,25733203 
20140911,24629740 
20140912,23307121 
20140913,19605909 
20140914,19729827 
20140915,24174329 
20140916,21774177 
20140917,22783333 
20140918,23790108 
20140919,20653679 
20140920,21632813 
20140921,20930367 
20140922,24285194 
20140923,22678354 
20140924,22481147 
20140925,22661147 
20140926,20657337 
20140927,17421969 
20140928,21802618 
20140929,22349004 
20140930,21958203 
20141001,20649047 
20141002,22080476 
20141003,20425064 
20141004,19797337 
20141005,19317272 
20141006,23083679 
20141007,23362835 
20141008,20321536 
20141009,20858441 
20141010,19650822 
20141011,22298311 
20141012,18402856 
20141013,21543874 
20141014,21949956 
20141015,21351753 
20141016,23524112 
20141017,30783354 
20141018,19852250 
20141019,21924956 
20141020,22967813 
20141021,21313441 
20141022,22045043 
20141023,20982857 
20141024,18564696 
20141025,16572489 
20141026,17451169 
20141027,20335411 
20141028,21295043 
20141029,18969913 
20141030,21579415 
20141031,18475216 
20141101,18636169 
20141102,18141775 
20141103,20393008 
20141104,20892922 
20141105,20956342 
20141106,21435367 
20141107,20538030 
20141108,18979177 
20141109,18675324 
20141110,20537943 
20141111,21098160 
20141112,19793506 
20141113,21650389 
20141114,19610671 
20141115,18938181 
20141116,18017316 
20141117,20831234 
20141118,21317576 
20141119,20040173 
20141120,20105173 
20141121,19413614 
20141122,16122619 
20141123,15940519 
20141124,19718268 
20141125,19664220 
20141126,19831103 
20141127,20305043 
20141128,21258051 
20141129,29533917 
20141130,16884091 
20141201,19034147 
20141202,20763571 
20141203,20295480 
20141204,20355952 
