"ef_date","total_amount"
20140404,16030736 
20140405,11795129 
20140406,14924740 
20140407,7987489 
20140408,8664173 
20140409,12023560 
20140410,7584993 
20140411,10336064 
20140412,9643813 
20140413,11074586 
20140414,6053062 
20140415,9178536 
20140416,7228941 
20140417,8509686 
20140418,9512218 
20140419,11126649 
20140420,10992129 
20140421,7950209 
20140422,8095259 
20140423,8623584 
20140424,8149883 
20140425,10713859 
20140426,12125755 
20140427,17509684 
20140428,8612920 
20140429,7399692 
20140430,9670199 
20140501,13363075 
20140502,9896075 
20140503,9619346 
20140504,13271359 
20140505,8576136 
20140506,9217318 
20140507,6239565 
20140508,9047783 
20140509,10517348 
20140510,11887870 
20140511,15713223 
20140512,9317883 
20140513,7511216 
20140514,11679250 
20140515,7784781 
20140516,8181331 
20140517,13006272 
20140518,11294523 
20140519,9512666 
20140520,7496359 
20140521,9503478 
20140522,7692547 
20140523,11724283 
20140524,14044534 
20140525,15406536 
20140526,8857510 
20140527,8917123 
20140528,9894965 
20140529,10467885 
20140530,10193406 
20140531,13756749 
20140601,12545937 
20140602,8264331 
20140603,7995690 
20140604,9013859 
20140605,8668355 
20140606,10736796 
20140607,14580736 
20140608,12038679 
20140609,8854935 
20140610,8016168 
20140611,8763874 
20140612,8653636 
20140613,9145497 
20140614,14541428 
20140615,13099004 
20140616,7910541 
20140617,8644956 
20140618,6586948 
20140619,11051558 
20140620,9403030 
20140621,10653896 
20140622,13473484 
20140623,6606753 
20140624,8126298 
20140625,9051493 
20140626,9304242 
20140627,9563528 
20140628,10032662 
20140629,11867316 
20140630,11001774 
20140701,9975259 
20140702,11712618 
20140703,11240173 
20140704,6524458 
20140705,10900043 
20140706,14555130 
20140707,7705606 
20140708,8029372 
20140709,9807943 
20140710,9370108 
20140711,9756645 
20140712,10366038 
20140713,12033225 
20140714,6797445 
20140715,8756342 
20140716,10685108 
20140717,8365822 
20140718,8188961 
20140719,9126710 
20140720,13871558 
20140721,7121493 
20140722,10038398 
20140723,9330909 
20140724,9005757 
20140725,9720216 
20140726,8224870 
20140727,11480411 
20140728,6076688 
20140729,5436385 
20140730,8822250 
20140731,7352013 
20140801,10932034 
20140802,10661580 
20140803,10840497 
20140804,5580432 
20140805,10828701 
20140806,10217597 
20140807,8030671 
20140808,8498939 
20140809,9376558 
20140810,13534394 
20140811,8943658 
20140812,10095930 
20140813,8806688 
20140814,9003203 
20140815,9602497 
20140816,12956233 
20140817,15545151 
20140818,6683030 
20140819,7774264 
20140820,10867467 
20140821,10314826 
20140822,10247013 
20140823,9451168 
20140824,12147316 
20140825,8128116 
20140826,9322099 
20140827,7601883 
20140828,7855865 
20140829,9797857 
20140830,10725714 
20140831,13692986 
20140901,12911515 
20140902,13012489 
20140903,9426039 
20140904,9404263 
20140905,9308528 
20140906,9038982 
20140907,15260800 
20140908,10723982 
20140909,8841363 
20140910,9118290 
20140911,9371428 
20140912,10766948 
20140913,9721709 
20140914,15795584 
20140915,8979220 
20140916,10161926 
20140917,9423701 
20140918,9100670 
20140919,9320605 
20140920,10877748 
20140921,13945584 
20140922,10914610 
20140923,8363614 
20140924,8555995 
20140925,9842619 
20140926,10801255 
20140927,16462922 
20140928,13370627 
20140929,10260562 
20140930,8389307 
20141001,8324783 
20141002,11068073 
20141003,11312078 
20141004,11888614 
20141005,12704220 
20141006,8862965 
20141007,9419653 
20141008,8927272 
20141009,8088593 
20141010,9750302 
20141011,13409718 
20141012,14773030 
20141013,8843528 
20141014,11151450 
20141015,9411428 
20141016,9686601 
20141017,12946796 
20141018,11934069 
20141019,16033593 
20141020,9877077 
20141021,7292878 
20141022,9257142 
20141023,10161450 
20141024,12126233 
20141025,13259393 
20141026,11641255 
20141027,10438679 
20141028,8606125 
20141029,11526601 
20141030,12841709 
20141031,13196212 
20141101,14661991 
20141102,14707575 
20141103,9617943 
20141104,10709458 
20141105,10464307 
20141106,11935021 
20141107,12600411 
20141108,12065021 
20141109,17581168 
20141110,12993030 
20141111,12813376 
20141112,12303636 
20141113,12362142 
20141114,12563657 
20141115,15600064 
20141116,16920303 
20141117,10782013 
20141118,13845411 
20141119,12626363 
20141120,12121385 
20141121,11122315 
20141122,15519891 
20141123,15075714 
20141124,9210108 
20141125,12168874 
20141126,12891212 
20141127,12620324 
20141128,12028614 
20141129,20628874 
20141130,14865870 
20141201,11857878 
20141202,11684978 
20141203,13079199 
20141204,10686428 
20141205,14739558 
20141206,15282770 
20141207,16877359 
20141208,11102294 
20141209,12914740 
20141210,12307835 
20141211,11372402 
20141212,10829047 
20141213,12889463 
20141214,18755151 
20141215,10529437 
20141216,12815458 
20141217,14547359 
20141218,11035969 
20141219,12911298 
20141220,17514428 
20141221,14577220 
20141222,12523333 
20141223,13917272 
20141224,24125563 
20141225,17373095 
20141226,11181883 
20141227,14809437 
20141228,14992251 
20141229,11398463 
20141230,9253290 
20141231,15664026 
20150101,16086991 
20150102,14234567 
20150103,13792987 
20150104,12695779 
20150105,9838787 
20150106,10842943 
20150107,10847532 
20150108,11703658 
20150109,11107251 
20150110,14371580 
20150111,16596277 
20150112,10905474 
20150113,12678701 
20150114,13063939 
20150115,11963173 
20150116,12998528 
20150117,15650194 
20150118,14383203 
20150119,10920865 
20150120,12552922 
20150121,12213086 
20150122,9834090 
20150123,11477857 
20150124,11333723 
20150125,17000303 
20150126,8880926 
20150127,9911073 
20150128,9902337 
20150129,11420130 
20150130,11696463 
20150131,11604220 
20150201,14861580 
20150202,10029112 
20150203,13777814 
20150204,10618571 
20150205,10411709 
20150206,10750952 
20150207,11391017 
20150208,14474272 
20150209,10529956 
20150210,9209978 
20150211,9358831 
20150212,13304116 
20150213,14163679 
20150214,15324350 
20150215,11747792 
20150216,7782575 
20150217,9100935 
20150218,14703129 
20150219,14672199 
20150220,13543498 
20150221,13851264 
20150222,10651060 
20150223,12758298 
20150224,10290844 
20150225,10626584 
20150226,10039134 
20150227,13561558 
20150228,13747034 
20150301,13072251 
20150302,8842640 
20150303,11781385 
20150304,10985259 
20150305,12301774 
20150306,10518476 
20150307,13992705 
20150308,17855510 
20150309,10854242 
20150310,13944394 
20150311,10606818 
20150312,11914264 
20150313,10196686 
20150314,13786493 
20150315,14509264 
20150316,8474675 
20150317,10105064 
20150318,9396212 
20150319,11211385 
20150320,10458917 
20150321,15213636 
20150322,12551038 
20150323,9384090 
20150324,11515173 
20150325,13879935 
20150326,11497359 
20150327,12164588 
20150328,12852684 
20150329,14948679 
20150330,11075887 
20150331,9485562 
20150401,10308441 
20150402,11283874 
20150403,12605649 
20150404,11076298 
20150405,15325194 
20150406,8662943 
20150407,10372748 
20150408,11881645 
20150409,12527835 
20150410,13296277 
20150411,14930259 
20150412,15311125 
20150413,7508701 
