"ef_date","total_amount"
20140916,12927575 
20140917,9725801 
20140918,9657337 
20140919,6556385 
20140920,6881818 
20140921,6124913 
20140922,6738831 
20140923,6175151 
20140924,6079567 
20140925,4446645 
20140926,5525432 
20140927,5339999 
20140928,5557294 
20140929,5559956 
20140930,5190454 
20141001,6141839 
20141002,5741515 
20141003,5113355 
20141004,6186926 
20141005,6080129 
20141006,6474437 
20141007,9214436 
20141008,7406688 
20141009,7921298 
20141010,8883917 
20141011,9896709 
20141012,7344393 
20141013,8711753 
20141014,9045541 
20141015,7794069 
20141016,9080216 
20141017,9632705 
20141018,8498203 
20141019,6498874 
20141020,9069891 
20141021,10102424 
20141022,9196147 
20141023,9354675 
20141024,8880021 
20141025,7372056 
20141026,7009047 
20141027,10443961 
20141028,9740064 
20141029,10501645 
20141030,8946515 
20141031,10124415 
20141101,9303852 
20141102,7922272 
20141103,9804350 
20141104,9966558 
20141105,10556060 
20141106,10653030 
20141107,11780584 
20141108,10886060 
20141109,8851991 
20141110,10538722 
20141111,11392380 
20141112,10324112 
20141113,10086645 
20141114,9695497 
20141115,11193419 
20141116,8520021 
20141117,11176407 
20141118,11193593 
20141119,10991882 
20141120,12693441 
20141121,10869501 
20141122,10946125 
20141123,8878030 
20141124,9764112 
20141125,11178744 
20141126,12146601 
20141127,10587748 
20141128,10135973 
20141129,12715480 
20141130,9950649 
20141201,10830090 
20141202,11382835 
20141203,11919394 
20141204,12214069 
20141205,11232078 
20141206,12346021 
20141207,8939134 
20141208,10568463 
20141209,9296493 
20141210,9849138 
20141211,10325649 
20141212,9478766 
20141213,10592943 
20141214,9839415 
20141215,11249320 
20141216,11731974 
20141217,10281796 
20141218,10277294 
20141219,11244805 
20141220,12202337 
20141221,9475562 
20141222,10223961 
20141223,10260129 
20141224,12624225 
20141225,13627917 
20141226,8983831 
20141227,9828376 
20141228,10101558 
20141229,10475216 
20141230,7722012 
20141231,13268311 
20150101,11267251 
20150102,9222142 
20150103,7735562 
20150104,7661969 
20150105,9946212 
20150106,10790497 
20150107,8964264 
20150108,9545649 
20150109,11373311 
20150110,8723117 
20150111,7660303 
20150112,9877770 
20150113,8045627 
20150114,8775887 
20150115,9673982 
20150116,8454458 
20150117,9022480 
20150118,6369458 
20150119,6980433 
20150120,6631493 
20150121,5912077 
20150122,6980324 
20150123,6118852 
20150124,7599545 
20150125,8573982 
20150126,9124134 
20150127,9371710 
20150128,8962207 
20150129,9770671 
20150130,10453636 
20150131,9434523 
20150201,9370303 
20150202,9103333 
20150203,10069805 
20150204,9093766 
20150205,9055307 
20150206,12433679 
20150207,10036268 
20150208,6067099 
20150209,6106363 
20150210,5848809 
20150211,4634090 
20150212,5082848 
20150213,4828398 
20150214,5787688 
20150215,4903852 
20150216,3702575 
20150217,4225346 
20150218,5701064 
20150219,4620787 
20150220,4106818 
20150221,6403961 
20150222,5174285 
20150223,6088008 
20150224,4832900 
20150225,5866796 
20150226,5242727 
20150227,5884588 
20150228,5679177 
20150301,10375755 
20150302,11831796 
20150303,11889242 
20150304,11526753 
20150305,9962943 
20150306,10361406 
20150307,10205649 
20150308,9404738 
20150309,11804805 
20150310,10974848 
20150311,12501017 
20150312,11367770 
20150313,12094177 
20150314,11792943 
20150315,10378008 
20150316,11053679 
20150317,10616363 
20150318,10782835 
20150319,10583398 
20150320,12167186 
20150321,12619651 
20150322,10466688 
20150323,12894329 
20150324,12041168 
20150325,12317250 
20150326,11125908 
20150327,12714891 
20150328,10814502 
20150329,10141969 
20150330,12715584 
20150331,12721428 
20150401,11501623 
20150402,12171796 
20150403,11873225 
20150404,12843549 
20150405,10399091 
20150406,11992078 
20150407,13428766 
20150408,13374675 
20150409,13301534 
20150410,13302987 
20150411,12215801 
20150412,9455129 
20150413,13346710 
20150414,10505670 
20150415,14067316 
20150416,11503874 
20150417,11923528 
20150418,10263203 
20150419,11573052 
20150420,11925454 
20150421,12773116 
20150422,14244761 
20150423,12726363 
20150424,12498376 
