"ef_date","total_amount"
20130918,909 
20130919,19557576 
20130920,10032727 
20130921,7144459 
20130922,6342965 
20130923,8207229 
20130924,9464047 
20130925,7221710 
20130926,9337554 
20130927,8865801 
20130928,4528982 
20130929,4827452 
20130930,4972727 
20131001,5275714 
20131002,5869203 
20131003,6561039 
20131004,6789026 
20131005,4804653 
20131006,6738355 
20131007,4960822 
20131008,5538658 
20131009,6781493 
20131010,6267142 
20131011,7287575 
20131012,4955259 
20131013,5150454 
20131014,6787597 
20131015,5843311 
20131016,8667034 
20131017,6299394 
20131018,7355476 
20131019,6232922 
20131020,5243636 
20131021,9017445 
20131022,6101123 
20131023,6118052 
20131024,8510324 
20131025,7143420 
20131026,7809956 
20131027,5668961 
20131028,7784459 
20131029,6427965 
20131030,7302727 
20131031,7701536 
20131101,10776710 
20131102,8856104 
20131103,7304913 
20131104,9036212 
20131105,7524805 
20131106,6837684 
20131107,9431320 
20131108,11064827 
20131109,10964264 
20131110,7947749 
20131111,7734329 
20131112,7484935 
20131113,7258528 
20131114,7641060 
20131115,8229632 
20131116,7635844 
20131117,5563571 
20131118,9663614 
20131119,7350324 
20131120,7656861 
20131121,6371428 
20131122,8149177 
20131123,5725649 
20131124,6551428 
20131125,8115909 
20131126,8615606 
20131127,7199221 
20131128,7895281 
20131129,10435779 
20131130,6772922 
20131201,6381320 
20131202,8459524 
20131203,6135991 
20131204,7146446 
20131205,7549350 
20131206,8833658 
20131207,6386515 
20131208,5161883 
20131209,7907554 
20131210,7518506 
20131211,7646991 
20131212,7338117 
20131213,7771684 
20131214,7195628 
20131215,5057770 
20131216,8124156 
20131217,7766796 
20131218,8838972 
20131219,8190368 
20131220,9245238 
20131221,6922489 
20131222,5840909 
20131223,8377165 
20131224,8660108 
20131225,11494805 
20131226,6998939 
20131227,8763701 
20131228,7120130 
20131229,6863290 
20131230,7530195 
20131231,8265346 
20140101,5209394 
20140102,6540995 
20140103,9825996 
20140104,5922749 
20140105,3855086 
20140106,9845000 
20140107,6937186 
20140108,7600151 
20140109,7621601 
20140110,8793679 
20140111,6374155 
20140112,5331904 
20140113,9277034 
20140114,7852943 
20140115,8009047 
20140116,6328723 
20140117,5837575 
20140118,5594632 
20140119,5329523 
20140120,6096926 
20140121,5695844 
20140122,6683463 
20140123,7043073 
20140124,6107900 
20140125,4079956 
20140126,3211818 
20140127,6161255 
20140128,5988593 
20140129,6123571 
20140204,3904350 
20140205,4750043 
20140206,5356363 
20140207,6129134 
20140208,4571147 
20140209,4888723 
20140210,6110346 
20140211,5323701 
20140212,5546536 
20140213,8330173 
20140214,9137143 
20140215,6019415 
20140216,4530692 
20140217,6158506 
20140218,5043160 
20140219,6355519 
20140220,5159523 
20140221,5902987 
20140222,4330476 
20140223,5088073 
20140224,5553917 
20140225,6359502 
20140226,6017272 
20140227,6206645 
20140228,5779480 
20140301,4766775 
20140302,4485757 
20140303,6929264 
20140304,6039264 
20140305,5760714 
20140306,5731731 
20140307,6257294 
20140308,6728766 
20140309,4897294 
20140310,5586515 
20140311,6295043 
20140312,5974199 
20140313,6207186 
20140314,6084155 
20140315,4888852 
20140316,5857078 
20140317,7241926 
20140318,7386839 
20140319,7500757 
20140320,6892792 
