"ef_date","total_amount"
20151201,22494891 
20151202,17080671 
20151203,16521471 
20151204,14465519 
20151205,18648463 
20151206,11084004 
20151207,12961969 
20151208,11749264 
20151209,14643723 
20151210,12606731 
20151211,11151450 
20151212,12751515 
20151213,9428138 
20151214,13654286 
20151215,10653160 
20151216,11374523 
20151217,12300195 
20151218,10397337 
20151219,10697337 
20151220,7288463 
20151221,8549069 
20151222,8097727 
20151223,8841580 
20151224,12271082 
20151225,10957532 
20151226,10321645 
20151227,8564697 
20151228,11417273 
20151229,9580411 
20151230,10779329 
20151231,12091190 
20160101,9521753 
20160102,10617879 
20160103,7640541 
20160104,12627273 
20160105,11834870 
20160106,10885151 
20160107,9623788 
20160108,11439892 
20160109,12071796 
20160110,10065065 
20160111,12049351 
20160112,11698355 
20160113,13365043 
20160114,13430476 
20160115,12058593 
20160116,15911018 
20160117,11068030 
20160118,11518983 
20160119,13119848 
20160120,14147576 
20160121,12801320 
20160122,11029848 
20160123,18016277 
20160124,10660974 
20160125,11704112 
20160126,11681796 
20160127,12697922 
20160128,12804177 
20160129,13888874 
20160130,18938831 
20160131,9858680 
20160201,9716991 
20160202,8220800 
20160203,9608917 
20160204,9263939 
20160205,9668528 
20160206,8974761 
20160207,16207987 
20160208,12271147 
20160209,10931493 
20160210,10193441 
20160211,9721039 
20160212,7555670 
20160213,9390541 
20160214,9090454 
20160215,13873290 
20160216,12263809 
20160217,11260194 
20160218,10456060 
20160219,12171861 
20160220,12666471 
20160221,12653896 
20160222,13547446 
20160223,11188484 
20160224,12921731 
20160225,12860584 
20160226,13429805 
20160227,13928376 
20160228,11161472 
20160301,12379588 
20160302,12484545 
20160303,14237099 
20160304,12346104 
20160305,13381255 
20160306,14826472 
20160307,12599480 
20160308,14435151 
20160309,12411666 
20160310,13008766 
20160311,12756623 
20160312,13502554 
20160313,11700021 
20160314,11821342 
20160315,12980454 
20160316,12711255 
20160317,14317251 
20160318,13063593 
20160319,12936104 
20160320,11313853 
20160321,13166839 
20160322,12209697 
20160323,13310022 
20160324,14535086 
20160325,12296298 
20160326,12729350 
20160327,12264459 
20160328,11195043 
20160329,10888549 
20160330,12665173 
20160331,12654437 
20160401,12664156 
20160402,12995108 
20160403,9655887 
20160404,12867056 
20160405,11320238 
20160406,11878549 
20160407,13129393 
20160408,11899632 
20160409,12863354 
20160410,13701298 
20160411,14764134 
20160412,13450302 
20160413,12358419 
20160414,13558095 
20160415,14056168 
20160416,10390952 
20160417,10582813 
20160418,13089870 
20160419,15368181 
20160420,14543571 
20160421,14306039 
20160422,13516125 
20160423,14621017 
20160424,11756536 
20160425,15392835 
20160426,12335411 
20160427,17426883 
20160428,14132900 
20160429,16799372 
20160430,9983246 
20160501,10637121 
20160502,10175281 
20160503,11379654 
20160504,12342879 
20160505,14473658 
20160506,15163030 
20160507,14768658 
20160508,12385757 
20160509,15643398 
20160510,14192381 
20160511,14702510 
20160512,15071104 
20160513,15526645 
20160514,16479112 
20160515,13507251 
20160516,14114784 
20160517,15052943 
20160518,14324545 
20160519,14244177 
20160520,13515285 
20160521,14736580 
20160522,10419307 
20160523,15045909 
20160524,12745021 
20160525,12830281 
20160526,13957056 
20160527,11216969 
20160528,13486147 
20160529,11286363 
20160530,12207532 
20160531,12115238 
20160601,13820714 
20160602,12899307 
20160603,13374610 
20160604,12021602 
20160605,10520563 
20160606,12682381 
20160607,12710000 
20160608,12804286 
20160609,12795000 
20160610,15871190 
20160611,13933896 
20160612,10122857 
20160613,13179199 
20160614,12949437 
20160615,12684957 
20160616,12311277 
20160617,15127078 
20160618,12223701 
20160619,10946017 
20160620,11821861 
20160621,12482446 
20160622,12250628 
20160623,10970801 
20160624,13061169 
20160625,11653247 
20160626,10153571 
20160627,11585801 
20160628,11369956 
20160629,12074718 
20160630,15852922 
20160701,19514610 
20160702,19788960 
20160703,10530844 
20160704,12076493 
20160705,12883355 
20160706,11931969 
20160707,11857770 
20160708,13162640 
20160709,12481082 
20160710,10820497 
20160711,13637878 
20160712,11551039 
20160713,11850909 
20160714,11831796 
20160715,10840887 
20160716,10640670 
20160717,11532792 
20160718,11483571 
20160719,11787965 
20160720,11306450 
20160721,12075108 
20160722,11096753 
20160723,10425584 
20160724,12608311 
20160725,11142619 
20160726,9756926 
20160727,10819653 
20160728,11557489 
20160729,17563831 
20160730,12660281 
20160731,9896515 
20160801,13689892 
20160802,12416060 
20160803,13091277 
20160804,11773398 
20160805,14451926 
20160806,11572446 
20160807,10948615 
20160808,13628074 
20160809,12646190 
20160810,13072359 
20160811,12552467 
20160812,13884848 
20160813,12363896 
20160814,11076904 
20160815,14737770 
20160816,15992814 
20160817,16066775 
20160818,13871190 
20160819,13349783 
20160820,11254740 
20160821,10483744 
20160822,16161103 
20160823,15537857 
20160824,13911320 
20160825,14178614 
20160826,13029523 
20160827,12344069 
20160828,11480216 
20160829,12232294 
20160830,12591731 
20160831,11532424 
20160901,13780346 
20160902,11615130 
20160903,12534632 
20160904,13411125 
20160905,16097943 
20160906,14896298 
20160907,18344913 
20160908,17451839 
20160909,17314524 
20160910,16078896 
20160911,11087337 
20160912,15671644 
20160913,13249458 
20160914,16613073 
20160915,15506926 
20160916,15464415 
20160917,14611710 
20160918,13675281 
20160919,16024935 
20160920,15096753 
20160921,16211839 
20160922,14291082 
20160923,15100389 
20160924,16053550 
20160925,14263095 
20160926,16397662 
20160927,15836298 
20160928,15630671 
20160929,15664523 
20160930,16924199 
20161001,16559783 
20161002,16479286 
20161003,14775562 
20161004,16227143 
20161005,15796103 
20161006,17204112 
20161007,17034350 
20161008,15427208 
20161009,13240432 
20161010,15305952 
20161011,14632748 
20161012,17540433 
20161013,15085952 
20161014,16195714 
20161015,22144610 
20161016,13876731 
20161017,15436493 
20161018,17092857 
20161019,16438290 
20161020,14924047 
20161021,16596753 
20161022,15525238 
20161023,15462013 
20161024,15044697 
20161025,15081818 
20161026,15444221 
20161027,16414545 
20161028,14532164 
