"ef_date","total_amount"
20141216,31691549 
20141217,20723679 
20141218,20018224 
20141219,19413311 
20141220,11263653 
20141221,8414450 
20141222,17253333 
20141223,18112120 
20141224,16264592 
20141225,12748463 
20141226,10946363 
20141227,10930995 
20141228,7005606 
20141229,11679134 
20141230,10453268 
20141231,11086861 
20150101,5846558 
20150102,3272424 
20150103,3458030 
20150104,5188181 
20150105,10109220 
20150106,11290000 
20150107,10650649 
20150108,10321038 
20150109,10886082 
20150110,9297121 
20150111,7588939 
20150112,8014697 
20150113,9671168 
20150114,7246644 
20150115,9817748 
20150116,8802294 
20150117,8679090 
20150118,6404307 
20150119,11207056 
20150120,8614220 
20150121,9475627 
20150122,8646212 
20150123,8235671 
20150124,8912229 
20150125,5353303 
20150126,11280801 
20150127,10875835 
20150128,11131601 
20150129,11998138 
20150130,11998337 
20150131,6603766 
20150201,7454566 
20150202,11061060 
20150203,13221636 
20150204,10533441 
20150205,12101398 
20150206,10424125 
20150207,5946671 
20150208,4305606 
20150209,10150445 
20150210,11557056 
20150211,10647272 
20150212,2384199 
20150213,555303 
20150228,570454 
20150301,5185302 
20150302,10539722 
20150303,12604285 
20150304,10414415 
20150305,11499579 
20150306,10443519 
20150307,6141731 
20150308,6650971 
20150309,10446731 
20150310,13717467 
20150311,13465324 
20150312,10826017 
20150313,10516190 
20150314,5985129 
20150315,7204285 
20150316,10391969 
20150317,13142531 
20150318,11263981 
20150319,12220757 
20150320,11122792 
20150321,5831731 
20150322,5280735 
20150323,11071753 
20150324,12420432 
20150325,12192835 
20150326,12745216 
20150327,11496168 
20150328,7346817 
20150329,7162532 
20150330,9862662 
20150331,13052272 
20150401,12805606 
20150402,12197142 
20150403,12342770 
20150404,11691147 
20150405,7010064 
20150406,10738809 
20150407,13344155 
20150408,11907445 
20150409,12593939 
20150410,11739480 
20150411,7589458 
20150412,8447402 
20150413,7810194 
20150414,6383203 
20150415,7724567 
20150416,6990605 
20150417,8589675 
20150418,8174004 
20150419,6814393 
20150420,11599285 
