"ef_date","total_amount"
20140121,18322489 
20140122,12234480 
20140123,12559588 
20140124,12584004 
20140125,12408463 
20140126,13640173 
20140127,11475822 
20140128,10836904 
20140129,14350108 
20140130,14528550 
20140131,10773831 
20140201,12606753 
20140202,11340995 
20140203,9771082 
20140204,10894762 
20140205,8595671 
20140206,6854740 
20140207,6700389 
20140208,6276104 
20140209,7018138 
20140210,7033420 
20140211,8238961 
20140212,6291536 
20140213,8388982 
20140214,10405411 
20140215,8000065 
20140216,6854870 
20140217,6952164 
20140218,6925541 
20140219,7911536 
20140220,7432402 
20140221,7627294 
20140222,7627099 
20140223,9820065 
20140224,7144610 
20140225,7323355 
20140226,7247770 
20140227,7692857 
20140228,8486060 
20140301,7840238 
20140302,9194697 
20140303,6685238 
20140304,8687965 
20140305,9520389 
20140306,7620909 
20140307,10191623 
20140308,8263549 
20140309,11003160 
20140310,7945259 
20140311,6835173 
20140312,8824329 
20140313,7208290 
20140314,10441710 
20140315,9276060 
20140316,10793182 
20140317,8965130 
20140318,10170801 
20140319,9864567 
20140320,7649480 
20140321,9240563 
20140322,9794718 
20140323,11408355 
20140324,9554134 
20140325,8164177 
20140326,8993658 
20140327,8242554 
20140328,8425801 
20140329,9698961 
20140330,11039783 
20140331,10287381 
20140401,9144524 
20140402,8170130 
20140403,7980952 
20140404,8840606 
20140405,9922619 
20140406,9129762 
20140407,8208333 
20140408,7901775 
20140409,9518268 
20140410,10047463 
20140411,9274372 
20140412,14048417 
20140413,10483991 
20140414,10117612 
20140415,9327647 
20140416,8536669 
20140417,7692508 
20140418,9900718 
20140419,8754318 
20140420,10755000 
20140421,10191569 
20140422,9434742 
20140423,9148309 
20140424,8900175 
20140425,9191751 
20140426,9541931 
20140427,10766446 
20140428,8845214 
20140429,9849844 
20140430,7467850 
20140501,8178378 
20140502,7496340 
20140503,6735658 
20140504,9862645 
20140505,8725946 
20140506,9539636 
20140507,10103675 
20140508,8531303 
20140509,8646368 
20140510,9043073 
20140511,11261523 
20140512,10121022 
20140513,10177692 
20140514,10666593 
20140515,8387653 
20140516,11811450 
20140517,9562242 
20140518,11177580 
20140519,8502995 
20140520,10624714 
20140521,10056307 
20140522,9219389 
20140523,10140268 
20140524,8086562 
20140525,10170052 
20140526,9172757 
20140527,10483151 
20140528,11209052 
20140529,11751285 
20140530,9640450 
20140531,10706441 
20140601,8698666 
20140602,8658913 
20140603,10409580 
20140604,8719801 
20140605,11549013 
20140606,11346203 
20140607,10631259 
20140608,11445039 
20140609,8979654 
20140610,11510563 
20140611,10422446 
20140612,9799047 
20140613,9517943 
20140614,10271407 
20140615,10366710 
20140616,10086731 
20140617,10046363 
20140618,9111515 
20140619,10312749 
20140620,9800389 
20140621,10606926 
20140622,9831969 
20140623,9471536 
20140624,10716688 
20140625,8787922 
20140626,11513939 
20140627,10176688 
20140628,9929394 
20140629,9976125 
20140630,8350541 
20140701,10744134 
20140702,8316125 
20140703,12931839 
20140704,10511623 
20140705,11353225 
20140706,9799458 
20140707,11976904 
20140708,10967034 
20140709,10614393 
20140710,11411103 
20140711,10998246 
20140712,8947986 
20140713,12858203 
20140714,9354090 
20140715,11631125 
20140716,10356991 
20140717,10863311 
20140718,10507943 
20140719,10335043 
20140720,9640303 
20140721,9069285 
20140722,8794328 
20140723,9941493 
20140724,9127597 
20140725,10967056 
20140726,9351645 
20140727,9970649 
20140728,7994004 
20140729,9188701 
20140730,8196926 
20140731,10137619 
20140801,11778896 
20140802,10214372 
20140803,9094458 
20140804,10817424 
20140805,10734155 
20140806,11269307 
20140807,10541190 
20140808,10381385 
20140809,9677489 
20140810,13414134 
20140811,11277813 
20140812,10497380 
20140813,10391471 
20140814,10389588 
20140815,11061926 
20140816,12065324 
20140817,12593441 
20140818,7831363 
20140819,11180411 
20140820,11795497 
20140821,10675844 
20140822,10499891 
20140823,10146276 
20140824,11483138 
20140825,9336406 
20140826,10751688 
20140827,9512056 
20140828,9537467 
20140829,9099913 
20140830,9780779 
20140831,8204675 
20140901,10352857 
20140902,10738225 
20140903,10201948 
20140904,10732099 
20140905,9413939 
20140906,8906363 
20140907,9794155 
20140908,11734134 
20140909,9370800 
20140910,8541233 
20140911,11235974 
20140912,9927857 
20140913,11334848 
20140914,15013311 
20140915,9641017 
20140916,9170671 
20140917,11689870 
20140918,10119004 
20140919,11115541 
20140920,9721298 
20140921,11820779 
20140922,8961644 
20140923,9855605 
20140924,11073354 
20140925,9521601 
20140926,10704956 
20140927,10013333 
20140928,12360367 
20140929,9056385 
20140930,10202683 
20141001,10578095 
20141002,10604480 
20141003,11270454 
20141004,13309328 
20141005,13397229 
20141006,12073701 
20141007,8378614 
20141008,10725714 
20141009,9731818 
20141010,12523052 
20141011,10195714 
20141012,13452207 
20141013,10453398 
20141014,9618333 
20141015,9565324 
20141016,10607575 
20141017,10457056 
20141018,13103094 
20141019,13769523 
20141020,11760995 
20141021,9769285 
20141022,10144848 
20141023,12100541 
20141024,11559545 
20141025,11602987 
20141026,13064090 
20141027,10492467 
20141028,12345866 
20141029,10095346 
20141030,11287792 
20141031,12834826 
20141101,12310043 
20141102,11987164 
20141103,10800779 
20141104,10967402 
20141105,11326580 
20141106,12406212 
20141107,13128528 
20141108,11534848 
20141109,13678376 
20141110,11604459 
20141111,13178939 
20141112,11450541 
20141113,13407619 
20141114,11708506 
20141115,12808463 
20141116,12986623 
20141117,10829891 
20141118,12373398 
20141119,11910757 
20141120,12654783 
20141121,11007662 
20141122,10855842 
20141123,13025411 
20141124,9604632 
20141125,11081883 
20141126,9851125 
20141127,11192099 
20141128,11865043 
20141129,13396103 
20141130,12452684 
20141201,11634883 
20141202,10966800 
20141203,12754090 
20141204,11604567 
20141205,13594524 
20141206,13780692 
20141207,11613658 
20141208,11380974 
20141209,10746342 
20141210,11999177 
20141211,11484394 
20141212,11835887 
20141213,11460476 
20141214,14676013 
20141215,11149852 
20141216,11662337 
20141217,11384091 
20141218,12104264 
20141219,11005303 
20141220,12765225 
20141221,11902839 
20141222,12426255 
20141223,12348701 
20141224,13644943 
20141225,17913181 
20141226,12832749 
20141227,11656125 
20141228,10658983 
20141229,11766190 
20141230,11473636 
20141231,13466666 
20150101,15247922 
20150102,10738376 
20150103,10500476 
20150104,11750000 
20150105,11788787 
20150106,9748073 
20150107,13074610 
20150108,10156905 
20150109,10601039 
20150110,11547186 
20150111,13164545 
20150112,11260757 
20150113,11349134 
20150114,11496883 
20150115,12654761 
20150116,13455043 
20150117,12950930 
20150118,11726060 
20150119,11780043 
20150120,10917445 
20150121,10838766 
20150122,11080584 
20150123,10450822 
20150124,11241168 
20150125,10896398 
20150126,10854156 
20150127,11463614 
20150128,11040519 
20150129,10406147 
20150130,10605865 
20150131,11868484 
20150201,12774913 
20150202,13638376 
20150203,10269532 
20150204,11309922 
20150205,10698593 
20150206,12976645 
20150207,13143073 
20150208,13804073 
20150209,10791839 
20150210,11213593 
20150211,11798701 
20150212,13098116 
20150213,11927965 
20150214,13692082 
20150215,11935952 
20150216,11327428 
20150217,11425454 
20150218,19521584 
20150219,15353101 
20150220,13156008 
20150221,13586601 
20150222,17452034 
20150223,14931688 
20150224,14109653 
20150225,11118420 
20150226,10794134 
20150227,11254935 
20150228,11466255 
20150301,15883723 
20150302,11105993 
20150303,14720844 
20150304,12581536 
20150305,12946082 
20150306,11878896 
20150307,14446407 
20150308,13962424 
20150309,12736926 
20150310,11702380 
20150311,12599415 
20150312,11391729 
20150313,13673528 
20150314,15569437 
20150315,13226947 
20150316,12937662 
20150317,9788744 
20150318,12103636 
20150319,13866384 
20150320,12014393 
20150321,13426320 
20150322,12766904 
20150323,14900281 
20150324,12049415 
20150325,13936666 
20150326,13741276 
20150327,13800713 
20150328,14117900 
20150329,11725151 
20150330,14163225 
20150331,12487727 
20150401,12305714 
20150402,12707640 
20150403,14991147 
20150404,14537532 
20150405,15287402 
20150406,13540129 
20150407,15540995 
20150408,12769675 
20150409,13543008 
20150410,13553030 
20150411,16386212 
20150412,14137835 
20150413,10787164 
20150414,12917359 
20150415,14417402 
20150416,12271818 
20150417,13591298 
20150418,14370974 
20150419,13427099 
20150420,12420454 
20150421,11962294 
20150422,13050519 
20150423,13554848 
20150424,13306601 
20150425,13071493 
20150426,14197164 
20150427,14595714 
20150428,12852662 
20150429,14451688 
20150430,13744091 
20150501,13069437 
20150502,12790043 
20150503,15287597 
20150504,12931731 
20150505,12274523 
20150506,12563355 
20150507,13793744 
20150508,13444307 
20150509,14172205 
20150510,16124740 
20150511,15020800 
20150512,13707229 
20150513,14671125 
20150514,13647770 
20150515,15989783 
20150516,16973874 
20150517,13706948 
20150518,13573571 
20150519,14961255 
20150520,15060324 
20150521,16045909 
20150522,14470129 
20150523,15493095 
20150524,15646039 
20150525,13119263 
20150526,14080432 
20150527,13272099 
20150528,14605606 
20150529,14456450 
20150530,15258831 
20150531,13729220 
20150601,16302879 
20150602,14488441 
20150603,13052208 
20150604,14882143 
20150605,14194458 
20150606,14359069 
20150607,15654242 
20150608,14579524 
20150609,15896061 
20150610,14558376 
20150611,15608463 
20150612,14354870 
20150613,13451775 
20150614,16266060 
20150615,13968917 
20150616,11590562 
20150617,12933030 
20150618,12783939 
20150619,13138723 
20150620,10812814 
20150621,13905800 
20150622,13401774 
20150623,11814242 
20150624,11590194 
20150625,12268008 
20150626,12905194 
20150627,13721298 
20150628,12744459 
20150629,14153961 
20150630,18240151 
20150701,16515909 
20150702,14039848 
20150703,15412554 
20150704,16771904 
20150705,15748073 
20150706,13582013 
20150707,12810021 
20150708,14564155 
20150709,13780173 
20150710,13374242 
20150711,15267510 
20150712,14409718 
20150713,14500822 
20150714,12442186 
20150715,15533160 
20150716,15483679 
20150717,13843982 
20150718,13933052 
20150719,13847727 
20150720,14054242 
20150721,13430736 
20150722,14079480 
20150723,15515476 
20150724,14933463 
20150725,12398246 
20150726,15568614 
20150727,15139199 
20150728,9437879 
20150729,11476104 
20150730,12596883 
20150731,15669004 
20150801,14419459 
20150802,16368311 
20150803,14594567 
20150804,14061623 
20150805,12721471 
20150806,12703225 
20150807,15517943 
20150808,15900627 
20150809,15150692 
20150810,15991493 
20150811,15632229 
20150812,15828787 
20150813,15412900 
20150814,18078354 
20150815,14776688 
20150816,14970744 
20150817,11270108 
20150818,13546991 
20150819,13143917 
20150820,12301904 
20150821,14752337 
20150822,15818549 
20150823,13868246 
20150824,11876017 
20150825,13493420 
20150826,13191753 
20150827,13898614 
20150828,15858896 
20150829,15961190 
20150830,14225324 
20150831,11968052 
20150901,12390398 
20150902,14796437 
20150903,14293788 
20150904,13803419 
20150905,16587532 
20150906,20146558 
20150907,15213593 
20150908,11233549 
20150909,11043052 
20150910,14926103 
20150911,15503744 
20150912,15372705 
20150913,16386493 
20150914,14017337 
20150915,12785865 
20150916,15370519 
20150917,13986904 
20150918,15989675 
20150919,14854610 
20150920,14554264 
20150921,16080887 
20150922,14139848 
20150923,13978744 
20150924,15469827 
20150925,15402142 
20150926,14785346 
20150927,17755389 
20150928,13609155 
20150929,14619437 
20150930,14992467 
20151001,15326623 
20151002,15361558 
20151003,15712251 
20151004,18148939 
20151005,15748658 
20151006,13136926 
20151007,14460563 
20151008,13759588 
20151009,14972121 
20151010,18693008 
20151011,16987532 
20151012,14045130 
20151013,13501796 
20151014,13954567 
20151015,13446406 
20151016,14597359 
20151017,15785519 
20151018,15801493 
20151019,14022943 
20151020,14223593 
20151021,14447835 
20151022,15555151 
20151023,13398679 
20151024,16872337 
20151025,17189394 
20151026,15992381 
20151027,16447532 
20151028,15390519 
20151029,13915584 
20151030,16121969 
20151031,15622900 
20151101,17127662 
20151102,11889221 
20151103,14814827 
20151104,18148398 
20151105,15834545 
20151106,13989004 
20151107,16896775 
20151108,15651363 
20151109,14596969 
20151110,14181125 
20151111,14989805 
20151112,15339091 
20151113,13599069 
20151114,18427597 
20151115,19225519 
20151116,15216342 
20151117,14856082 
20151118,14061385 
20151119,14806905 
20151120,17102402 
20151121,17049827 
20151122,15276277 
20151123,12224091 
20151124,12179437 
20151125,14431320 
20151126,14139762 
20151127,13262034 
20151128,14638701 
20151129,16193701 
20151130,12283138 
20151201,14064891 
20151202,13867900 
20151203,15794718 
20151204,15018203 
20151205,16914523 
20151206,17179177 
20151207,15050779 
20151208,15476060 
20151209,15798355 
20151210,15853030 
20151211,16582982 
20151212,16908182 
20151213,15427069 
20151214,15294957 
20151215,13218614 
20151216,12649502 
20151217,13469917 
20151218,13892099 
20151219,16241277 
20151220,15469493 
20151221,14045121 
20151222,12800584 
