"ef_date","total_amount"
20140522,10458203 
20140523,6545718 
20140524,7780536 
20140525,6894506 
20140526,5558428 
20140527,6943701 
20140528,7689549 
20140529,7545519 
20140530,7138718 
20140531,5031134 
20140601,4712684 
20140602,4974575 
20140603,5035606 
20140604,6333952 
20140605,4665645 
20140606,5037883 
20140607,5754666 
20140608,6746840 
20140609,5647424 
20140610,6179545 
20140611,6803636 
20140612,5809372 
20140613,6595411 
20140614,5623787 
20140615,5486645 
20140616,6592402 
20140617,5190324 
20140618,6210324 
20140619,6804762 
20140620,5860649 
20140621,5594415 
20140622,4911255 
20140623,7314004 
20140624,7914026 
20140625,6122510 
20140626,9264069 
20140627,7893311 
20140628,7636731 
20140629,5708787 
20140630,8064805 
20140701,9285995 
20140702,6425476 
20140703,7002467 
20140704,6300887 
20140705,5552683 
20140706,4691666 
20140707,7136601 
20140708,6661948 
20140709,7093701 
20140710,6423289 
20140711,8710822 
20140712,4981623 
20140713,5746038 
20140714,6269567 
20140715,5136212 
20140716,6997519 
20140717,6142250 
20140718,6575757 
20140719,5627467 
20140720,5173744 
20140721,6013311 
20140722,5988636 
20140723,5321471 
20140724,5510844 
20140725,5902034 
20140726,6247077 
20140727,5492250 
20140728,6086038 
20140729,5732965 
20140730,5886666 
20140731,7407229 
20140801,6893658 
20140802,5370779 
20140803,4635865 
20140804,5612532 
20140805,6279112 
20140806,6031320 
20140807,5769761 
20140808,6616450 
20140809,7178138 
20140810,6428766 
20140811,6923463 
20140812,6212510 
20140813,7463874 
20140814,5836082 
20140815,6579740 
20140816,7035497 
20140817,5351623 
20140818,6782121 
20140819,8464502 
20140820,8106406 
20140821,8529372 
20140822,7157748 
20140823,8078203 
20140824,6324913 
20140825,6498766 
20140826,7201493 
20140827,8224328 
20140828,7358593 
20140829,7320800 
20140830,7910844 
20140831,5628225 
20140901,6533528 
20140902,4868246 
20140903,9323333 
20140904,9719177 
20140905,6116753 
20140906,6493787 
20140907,5207380 
20140908,7673160 
20140909,8206731 
20140910,7744177 
20140911,8519783 
20140912,8203441 
20140913,6874632 
20140914,6878549 
20140915,8023982 
20140916,6919220 
20140917,8128181 
20140918,7584112 
20140919,9158354 
20140920,9365952 
20140921,6276385 
20140922,8422619 
20140923,8887142 
20140924,7640735 
20140925,7585043 
20140926,8900519 
20140927,7382662 
20140928,6723809 
20140929,9010952 
20140930,9887705 
20141001,7318181 
20141002,9534697 
20141003,8907705 
20141004,6597922 
20141005,7037337 
20141006,9614350 
20141007,8780173 
20141008,8311753 
20141009,8960909 
20141010,10369004 
20141011,9001774 
20141012,6523311 
20141013,7949740 
20141014,10410735 
20141015,8599567 
20141016,7999805 
20141017,9047813 
20141018,9250151 
20141019,7552467 
20141020,9071450 
20141021,9444437 
20141022,10515454 
20141023,8488290 
20141024,9125519 
20141025,8228030 
20141026,8523138 
20141027,9315757 
20141028,9945368 
20141029,9698809 
20141030,12255844 
20141031,11742922 
20141101,8703917 
20141102,6805822 
20141103,8852099 
20141104,10982077 
20141105,11088095 
20141106,10288831 
20141107,10530757 
20141108,9907835 
20141109,10086883 
20141110,9489545 
20141111,10021710 
20141112,11670887 
20141113,12341644 
20141114,10267575 
20141115,8692619 
20141116,9748117 
20141117,9669459 
20141118,11090368 
20141119,10676233 
20141120,10214956 
20141121,9671839 
20141122,10183181 
20141123,7125670 
20141124,9929047 
20141125,11127619 
20141126,10088376 
20141127,11418114 
20141128,11804783 
20141129,10320567 
20141130,8224112 
20141201,9368463 
20141202,10237424 
20141203,12167407 
20141204,10381342 
20141205,10387835 
20141206,10378441 
20141207,7631818 
20141208,11609783 
20141209,9340000 
20141210,11295705 
20141211,9581597 
20141212,10697298 
20141213,9003787 
20141214,7714359 
20141215,9018073 
20141216,9703324 
20141217,8402220 
20141218,8477835 
20141219,9609718 
20141220,9258078 
20141221,7300290 
20141222,12073593 
20141223,10586471 
20141224,11295878 
20141225,8361298 
20141226,8139523 
20141227,9700454 
20141228,9353874 
20141229,9384653 
20141230,9875411 
20141231,11658186 
20150101,6610930 
20150102,5481883 
20150103,6033376 
20150104,5222965 
20150105,9670519 
20150106,10633484 
20150107,9751277 
20150108,10863225 
20150109,10452207 
20150110,8161060 
20150111,8392099 
20150112,9271363 
20150113,9900541 
20150114,10277943 
20150115,11154069 
20150116,11207857 
20150117,7965497 
20150118,10772857 
20150119,10403987 
20150120,11074199 
20150121,11855303 
20150122,12096774 
20150123,11622878 
20150124,9337705 
20150125,7466125 
20150126,9426753 
20150127,11281948 
20150128,11258138 
20150129,11503290 
20150130,11358138 
20150131,9591255 
20150201,7839177 
20150202,10353203 
20150203,13271515 
20150204,10056389 
20150205,10867623 
20150206,12490584 
20150207,11213792 
20150208,7807770 
20150209,10650974 
20150210,9796359 
20150211,10637394 
20150212,8051861 
20150213,7292857 
20150214,8350277 
20150215,5388116 
20150216,6962272 
20150217,6121129 
20150218,6169476 
20150219,4308311 
20150220,4717077 
20150221,6071186 
20150222,5852406 
20150223,7044264 
20150224,10266290 
20150225,11033961 
20150226,9363333 
20150227,10430800 
20150228,8007943 
20150301,6734091 
20150302,10673571 
20150303,11910372 
20150304,11273307 
20150305,12408484 
20150306,12035480 
20150307,9218995 
20150308,8187402 
20150309,11380952 
20150310,12434480 
20150311,11475692 
20150312,13081294 
20150313,11377099 
20150314,10334134 
20150315,5766904 
20150316,10632553 
20150317,12379802 
20150318,12267856 
20150319,12390086 
20150320,11723830 
20150321,11256753 
20150322,8248116 
20150323,10585562 
20150324,12493073 
20150325,12559502 
20150326,13674025 
20150327,12739545 
20150328,11239891 
20150329,9876428 
20150330,10364155 
20150331,12620757 
20150401,12227900 
20150402,12217508 
20150403,9822900 
20150404,9164350 
20150405,9906471 
20150406,12047986 
20150407,12986471 
20150408,12785973 
20150409,12287337 
20150410,12874783 
20150411,10849242 
20150412,9011883 
20150413,12039155 
20150414,11717986 
20150415,11281969 
20150416,12079805 
20150417,10652532 
20150418,10418506 
20150419,9475541 
20150420,12661515 
20150421,11086060 
20150422,10856147 
20150423,12422857 
20150424,13750974 
20150425,10433917 
20150426,6003268 
20150427,10701731 
20150428,5813917 
20150429,7741169 
20150430,7045194 
20150501,5742164 
20150502,7705606 
20150503,6711428 
20150504,10042943 
20150505,9472121 
20150506,11798419 
20150507,9378766 
20150508,11519437 
20150509,10310865 
20150510,8747013 
20150511,9516601 
20150512,11683311 
20150513,12266753 
20150514,10367770 
20150515,11221017 
20150516,9845822 
20150517,8833874 
20150518,11750606 
20150519,10242878 
20150520,11267705 
20150521,9536774 
20150522,9851861 
20150523,9625303 
20150524,8737684 
20150525,9953528 
20150526,9069632 
20150527,10138355 
20150528,9339372 
20150529,11257077 
20150530,9744826 
20150531,8273073 
20150601,8989372 
20150602,9914155 
20150603,10081796 
20150604,10358809 
20150605,9197857 
20150606,10351710 
20150607,6757597 
20150608,8894545 
20150609,10122013 
20150610,10495844 
20150611,11018290 
20150612,10552316 
20150613,9548268 
20150614,9450779 
20150615,8386753 
20150616,9601601 
20150617,8965171 
20150618,10852727 
20150619,9191753 
20150620,8560995 
20150621,7212207 
20150622,9432164 
20150623,10804848 
20150624,10259134 
20150625,9833506 
20150626,12415065 
20150627,10255151 
20150628,9631948 
20150629,10170887 
20150630,10413528 
20150701,12141513 
20150702,11706017 
20150703,10787943 
20150704,9480865 
20150705,10398506 
20150706,11955735 
20150707,9918354 
20150708,10475129 
20150709,9693961 
20150710,9276731 
20150711,9754329 
20150712,10141753 
20150713,9679348 
20150714,10491905 
20150715,9872662 
20150716,8765692 
20150717,12750368 
20150718,9834891 
20150719,9412251 
20150720,8871212 
20150721,11605432 
20150722,8981796 
20150723,9612272 
20150724,9846796 
20150725,9567251 
20150726,8930173 
20150727,11234156 
20150728,11036472 
20150729,9295173 
20150730,11496666 
20150731,10428982 
20150801,9576320 
20150802,9351255 
20150803,11355433 
20150804,13293441 
20150805,10435714 
20150806,10350519 
20150807,11334848 
20150808,10563636 
20150809,10123614 
20150810,11058463 
20150811,10419653 
20150812,11343311 
20150813,12077186 
20150814,11521536 
20150815,12011147 
20150816,9160757 
20150817,11268701 
20150818,12982380 
20150819,12298658 
20150820,13679762 
20150821,10872813 
20150822,11662489 
20150823,9577878 
20150824,11301385 
20150825,13150649 
20150826,12752186 
20150827,12747705 
20150828,13105259 
20150829,13447142 
20150830,8760735 
20150831,13660701 
20150901,11916837 
20150902,8252272 
20150903,13492272 
20150904,12632142 
20150905,11960562 
20150906,12325562 
20150907,12798787 
20150908,11781861 
20150909,13303701 
20150910,12096341 
20150911,15257056 
20150912,12995562 
20150913,11126039 
20150914,12092467 
20150915,11637078 
20150916,13974911 
20150917,13121017 
20150918,13571618 
20150919,12310000 
20150920,11036870 
20150921,12285779 
20150922,13599694 
20150923,14114567 
20150924,12980108 
20150925,14745454 
20150926,13043853 
20150927,11865151 
20150928,13646104 
20150929,13573181 
20150930,13793441 
20151001,15067792 
20151002,16130151 
20151003,12534329 
20151004,11665714 
20151005,12681926 
20151006,13805844 
20151007,13884155 
20151008,14954480 
20151009,15038636 
20151010,13665216 
20151011,9527013 
20151012,14388333 
20151013,15109026 
20151014,14456558 
20151015,14102359 
20151016,11558484 
20151017,11484285 
20151018,11419761 
20151019,13026861 
20151020,15065173 
20151021,14163463 
20151022,15172792 
20151023,13877251 
20151024,13249588 
20151025,11472056 
20151026,14893528 
20151027,15170216 
20151028,14205259 
20151029,13199891 
20151030,14717597 
20151031,15137640 
20151101,9539350 
20151102,13312099 
20151103,13932359 
20151104,16316168 
20151105,13074242 
20151106,14016601 
20151107,15194437 
20151108,11463073 
20151109,11983463 
20151110,15623225 
20151111,14115822 
20151112,14809134 
20151113,14099632 
20151114,12105736 
20151115,10789956 
20151116,14651212 
20151117,13967013 
20151118,14163874 
20151119,14593528 
20151120,13353809 
20151121,12127121 
20151122,11634891 
20151123,14939978 
20151124,14694805 
20151125,12932554 
20151126,14581753 
20151127,14345562 
20151128,11406277 
20151129,10291536 
20151130,14185523 
20151201,13944156 
20151202,13494264 
20151203,14773917 
20151204,13794026 
20151205,12089264 
20151206,10980748 
20151207,11988593 
20151208,13247164 
20151209,14255865 
20151210,13790671 
20151211,15608939 
20151212,12715757 
20151213,10651861 
20151214,11834177 
20151215,13296060 
20151216,10235865 
20151217,11421082 
20151218,10969610 
20151219,11587588 
20151220,8949545 
20151221,10760303 
20151222,13202177 
20151223,14268961 
20151224,17167749 
20151225,13729545 
20151226,11460086 
20151227,9362359 
20151228,13042554 
20151229,12990563 
20151230,13230523 
20151231,17313052 
20160101,10904827 
20160102,10366818 
20160103,9414892 
20160104,13178160 
20160105,15489740 
20160106,13213636 
20160107,13973658 
20160108,14280368 
20160109,14007467 
20160110,12235801 
20160111,13049762 
20160112,13512619 
20160113,15228766 
20160114,14994610 
20160115,12975346 
20160116,13466601 
20160117,10126342 
20160118,14862272 
20160119,15343961 
20160120,13811061 
20160121,14088463 
20160122,13983160 
20160123,12355216 
20160124,11356233 
20160125,13764199 
20160126,15277342 
20160127,13315238 
20160128,12427532 
20160129,14758095 
20160130,15405130 
20160131,10156883 
20160201,13801428 
20160202,10450194 
20160203,10839523 
20160204,13905086 
20160205,12779999 
20160206,8739900 
20160207,7732082 
20160208,7785822 
20160209,8235090 
20160210,7525130 
20160211,10329095 
20160212,8007229 
20160213,8078182 
20160214,11106645 
20160215,12959420 
20160216,13200173 
20160217,12214956 
20160218,12181956 
20160219,12879047 
20160220,12704675 
20160221,9514220 
20160222,13485497 
20160223,14878614 
20160224,13395346 
20160225,14726277 
20160226,13859826 
20160227,12920519 
20160228,12177900 
20160301,13617705 
20160302,13491082 
20160303,15279091 
20160304,15755627 
20160305,12958051 
20160306,9862835 
20160307,13221930 
20160308,15181342 
20160309,16622428 
20160310,14617272 
20160311,14862835 
20160312,31808701 
20160313,10731775 
20160314,14285454 
20160315,14621277 
20160316,16084675 
20160317,16208095 
20160318,13422857 
20160319,15024026 
20160320,12131450 
20160321,14186060 
20160322,15530930 
20160323,14205606 
20160324,17533809 
20160325,16443896 
20160326,14574588 
20160327,10998506 
20160328,15401774 
20160329,16504307 
20160330,14684004 
20160331,15671342 
20160401,16024285 
20160402,13001320 
20160403,11653095 
20160404,14442424 
20160405,17436666 
20160406,15522770 
20160407,12991969 
20160408,15478095 
20160409,14052229 
20160410,11477467 
20160411,13926342 
20160412,12897618 
20160413,14820324 
20160414,15417164 
20160415,14021471 
20160416,11426082 
20160417,11587835 
20160418,10271277 
20160419,13719783 
20160420,13660112 
20160421,13362294 
20160422,14365432 
20160423,12260433 
20160424,13089459 
20160425,13448398 
20160426,13417380 
20160427,14830454 
20160428,12531212 
20160429,14150757 
20160430,11701688 
20160501,10908181 
20160502,10614632 
20160503,11379653 
20160504,13590757 
20160505,14229458 
20160506,14277575 
20160507,14797251 
20160508,13231775 
20160509,15899285 
20160510,16484870 
20160511,15399913 
20160512,16931904 
20160513,16096709 
20160514,15364783 
20160515,14209437 
20160516,14093246 
20160517,14909610 
20160518,13825606 
20160519,15070562 
20160520,14291450 
20160521,15013766 
20160522,13706060 
20160523,15216320 
20160524,13980995 
20160525,15578051 
20160526,13131558 
20160527,14909004 
20160528,14258679 
20160529,11438506 
20160530,13196775 
20160531,13559935 
20160601,12328960 
20160602,11867034 
20160603,12484199 
20160604,13607792 
20160605,12786905 
20160606,12760367 
20160607,12629285 
20160608,14964285 
20160609,13159480 
20160610,15422597 
20160611,13634697 
20160612,12516233 
20160613,14746818 
20160614,15380108 
20160615,14487705 
20160616,14168766 
20160617,13232164 
20160618,13837922 
20160619,12547640 
20160620,13732251 
20160621,14396255 
20160622,12988051 
20160623,15024978 
20160624,12387294 
20160625,13367662 
20160626,12160129 
20160627,16204935 
20160628,13956125 
20160629,14041709 
20160630,15561688 
20160701,13668160 
20160702,15421883 
20160703,13195562 
20160704,13324047 
20160705,15282748 
20160706,15371774 
20160707,14761861 
20160708,13255108 
20160709,14544956 
20160710,14120974 
20160711,13926991 
20160712,13652986 
20160713,17054004 
20160714,14050043 
20160715,14237683 
20160716,14118073 
20160717,14879134 
20160718,14253463 
20160719,14636580 
20160720,16071969 
20160721,13998159 
20160722,18752532 
20160723,14721969 
20160724,13919978 
20160725,14625194 
20160726,14219956 
20160727,14284047 
20160728,13403030 
20160729,15657900 
20160730,13630324 
20160731,13400303 
20160801,13286190 
20160802,12999805 
20160803,16084631 
20160804,14719696 
20160805,12617943 
20160806,13519675 
20160807,11423246 
20160808,14606796 
20160809,16375865 
20160810,14009415 
20160811,17553852 
20160812,16877922 
20160813,17217921 
20160814,14307185 
20160815,17771514 
20160816,18781428 
20160817,20252250 
20160818,18938636 
20160819,17985973 
20160820,17106666 
20160821,13920194 
20160822,16148376 
20160823,19963787 
20160824,19452727 
20160825,17781125 
20160826,17150540 
20160827,17855540 
20160828,14121255 
20160829,17398939 
20160830,19812293 
20160831,18326363 
20160901,18845973 
20160902,15296580 
20160903,13678160 
20160904,14284935 
