"ef_date","total_amount"
20140415,24392294 
20140416,16778344 
20140417,13738504 
20140418,14282989 
20140419,11593937 
20140420,12388195 
20140421,12960065 
20140422,12347413 
20140423,11900627 
20140424,10308820 
20140425,11482112 
20140426,9943558 
20140427,10779129 
20140428,10006303 
20140429,12653422 
20140430,9928573 
20140501,9907329 
20140502,10302335 
20140503,9444920 
20140504,10138125 
20140505,13699275 
20140506,12932701 
20140507,12319359 
20140508,12483177 
20140509,13064061 
20140510,9376809 
20140511,12918558 
20140512,13179346 
20140513,12815169 
20140514,11658762 
20140515,12680424 
20140516,12860298 
20140517,11455857 
20140518,11854562 
20140519,11428034 
20140520,11688320 
20140521,13878272 
20140522,13782584 
20140523,15975160 
20140524,11059597 
20140525,12540099 
20140526,9974736 
20140527,12360398 
20140528,12838376 
20140529,11898052 
20140530,11807601 
20140531,13891905 
20140601,10159259 
20140602,10407701 
20140603,11262073 
20140604,12443744 
20140605,11326428 
20140606,11645498 
20140607,12327597 
20140608,9152143 
20140609,14076407 
20140610,12278593 
20140611,13869653 
20140612,12197056 
20140613,13209870 
20140614,11654783 
20140615,10913831 
20140616,10558593 
20140617,10257294 
20140618,13420887 
20140619,13467770 
20140620,13203117 
20140621,10730627 
20140622,9726904 
20140623,12979848 
20140624,13250757 
20140625,11862770 
20140626,13987013 
20140627,13122857 
20140628,11417445 
20140629,10071947 
20140630,15105714 
20140701,13071147 
20140702,14439329 
20140703,13609372 
20140704,12874307 
20140705,14116060 
20140706,12122532 
20140707,11497792 
20140708,13241342 
20140709,15005021 
20140710,11783917 
20140711,15766255 
20140712,9204588 
20140713,10016818 
20140714,10302359 
20140715,11561861 
20140716,11712748 
20140717,11380389 
20140718,11367943 
20140719,10484242 
20140720,10134155 
20140721,10174502 
20140722,11122640 
20140723,12420302 
20140724,13901731 
20140725,15013809 
20140726,10685887 
20140727,13197445 
20140728,11710736 
20140729,11582445 
20140730,13161666 
20140731,13759415 
20140801,12733484 
20140802,11823160 
20140803,10288333 
20140804,11322510 
20140805,12786104 
20140806,12246710 
20140807,13861277 
20140808,10929350 
20140809,11372142 
20140810,11690952 
20140811,14152143 
20140812,16289502 
20140813,14188961 
20140814,13329956 
20140815,13240887 
20140816,11946039 
20140817,10876969 
20140818,12478095 
20140819,12403982 
20140820,13909848 
20140821,13567510 
20140822,12506407 
20140823,9918095 
20140824,9716753 
20140825,12645995 
20140826,13464588 
20140827,14791104 
20140828,12511580 
20140829,13624004 
20140830,10987792 
20140831,9545216 
20140901,12168052 
20140902,13696320 
20140903,15050368 
20140904,14496580 
20140905,14378593 
20140906,11532077 
20140907,11747142 
20140908,14267099 
20140909,12909177 
20140910,14456168 
20140911,14920952 
20140912,12675519 
20140913,13985346 
20140914,12699502 
20140915,13501731 
20140916,16346060 
20140917,13499567 
20140918,12979394 
20140919,14708982 
20140920,12487748 
20140921,13075974 
20140922,12913333 
20140923,14260281 
20140924,16548008 
20140925,14811038 
20140926,13838484 
20140927,12350389 
20140928,12169329 
20140929,12776969 
20140930,13680043 
20141001,14657489 
20141002,18097013 
20141003,15066991 
20141004,13203030 
20141005,13741298 
20141006,14812251 
20141007,13946558 
20141008,17327662 
20141009,15588333 
20141010,17011861 
20141011,14302900 
20141012,14595454 
20141013,14850065 
20141014,16113441 
20141015,14604069 
20141016,15388333 
20141017,16019913 
20141018,15822337 
20141019,13417316 
20141020,17756471 
20141021,15773679 
20141022,15237229 
20141023,14584892 
20141024,16583463 
20141025,13918095 
20141026,14539221 
20141027,16227749 
20141028,17045454 
20141029,14696428 
20141030,19203420 
20141031,14179329 
20141101,16181883 
20141102,12973679 
20141103,17967489 
20141104,16955476 
20141105,18086363 
20141106,18669610 
20141107,16184437 
20141108,14641883 
20141109,13171428 
20141110,16171320 
20141111,17789588 
20141112,16902012 
20141113,15723030 
20141114,18222878 
20141115,11416104 
20141116,14706774 
20141117,17346883 
20141118,18660584 
20141119,18216558 
20141120,15875411 
20141121,18040562 
20141122,12883396 
20141123,11811363 
20141124,16054199 
20141125,15045800 
20141126,17604199 
20141127,15746667 
20141128,15726320 
20141129,14250887 
20141130,12463787 
20141201,15725878 
20141202,15349956 
20141203,16718658 
20141204,19322532 
20141205,20143983 
20141206,16072402 
20141207,12534459 
20141208,14456537 
20141209,16684597 
20141210,19823801 
20141211,16964285 
20141212,15399199 
20141213,13910562 
20141214,14200606 
20141215,16606753 
20141216,15810714 
20141217,17674229 
20141218,14318982 
20141219,15813368 
20141220,13860541 
20141221,11109675 
20141222,18686666 
20141223,17647134 
20141224,27778502 
20141225,13573117 
20141226,15803918 
20141227,11951666 
20141228,10166407 
20141229,12845822 
20141230,14310454 
20141231,15483030 
20150101,12120151 
20150102,11122381 
20150103,9104891 
20150104,9984567 
20150105,14582965 
20150106,14800671 
20150107,17735692 
20150108,16645216 
