"ef_date","total_amount"
20170116,4382597 
20170117,18414762 
20170118,13451883 
20170119,10753333 
20170120,10702078 
20170121,10034264 
20170122,9484523 
20170123,9320692 
20170124,10459761 
20170125,9734307 
20170126,7831883 
20170127,15062597 
20170128,17293593 
20170129,12618593 
20170130,12096688 
20170131,10435671 
20170201,9137684 
20170202,7487424 
20170203,9455995 
20170204,8791558 
20170205,9532619 
20170206,7887987 
20170207,6887705 
20170208,8447424 
20170209,7473355 
20170210,9026168 
20170211,8966666 
20170212,7862381 
20170213,8546536 
20170214,9404523 
20170215,9183874 
20170216,7150043 
20170217,8068982 
20170218,9212879 
20170219,7746428 
20170220,8225800 
20170221,7383528 
20170222,9363550 
20170223,6453939 
20170224,7302597 
20170225,7637965 
20170226,10660281 
20170227,6660346 
20170228,7706796 
20170301,9147662 
20170302,10053420 
20170303,7966428 
20170304,10086255 
20170305,9362619 
20170306,7777850 
20170307,8172052 
20170308,9114560 
20170309,7948625 
20170310,8915409 
20170311,9434610 
20170312,10487143 
20170313,8947943 
20170314,8035214 
20170315,7130467 
20170316,7912857 
20170317,8497359 
20170318,10492895 
20170319,9831558 
20170320,8500516 
20170321,7583981 
20170322,8167745 
20170323,8218742 
20170324,8938853 
20170325,9679973 
20170326,9431666 
20170327,7138766 
20170328,8175952 
20170329,8183723 
20170330,9195667 
20170331,10892878 
20170401,9566905 
20170402,11007705 
20170403,8366039 
20170404,9431320 
20170405,10204220 
20170406,9225324 
20170407,8774437 
20170408,8329285 
20170409,9970151 
20170410,9828376 
20170411,10242943 
20170412,8961342 
20170413,9472121 
20170414,9448701 
20170415,11791969 
20170416,10973268 
20170417,8960195 
20170418,9409350 
20170419,9205952 
20170420,9912532 
20170421,8962554 
20170422,10667359 
20170423,9870584 
20170424,10076407 
20170425,8986104 
20170426,9468311 
20170427,12755130 
20170428,12505584 
20170429,11089632 
20170430,9844026 
20170501,12100693 
20170502,10923463 
20170503,9194156 
20170504,9900454 
20170505,11205995 
20170506,12710065 
20170507,10553939 
20170508,8844848 
20170509,9762186 
20170510,9615065 
20170511,9417835 
20170512,11399329 
20170513,11290822 
20170514,10392337 
20170515,8741320 
20170516,10739783 
20170517,9377597 
20170518,10371580 
20170519,9468160 
20170520,10785497 
20170521,11178549 
20170522,9894762 
20170523,9663549 
20170524,9088008 
20170525,9177251 
20170526,10731428 
20170527,9143095 
20170528,9818420 
20170529,9201753 
20170530,9286039 
20170531,22588961 
20170601,23961407 
20170602,21855087 
20170603,26270931 
20170604,26393614 
20170605,22070498 
20170606,25362013 
20170607,24854069 
20170608,16676082 
20170609,16382164 
20170610,11999653 
20170611,14300476 
20170612,12985043 
20170613,12369762 
20170614,13666796 
20170615,11231904 
20170616,15435627 
20170617,13882619 
20170618,14112965 
20170619,20277792 
20170620,34375152 
20170621,37354849 
20170622,38850260 
20170623,32133355 
20170624,38280239 
20170625,43997621 
20170626,42849048 
20170627,31615628 
20170628,30300130 
20170629,32659849 
20170630,35739264 
20170701,32932965 
20170702,33482035 
20170703,23474589 
20170704,11294047 
20170705,8896082 
20170706,11140671 
20170707,9246536 
20170708,11596320 
20170709,12685173 
20170710,10498550 
20170711,13545584 
20170712,11059610 
20170713,13425519 
20170714,13408874 
20170715,11995021 
20170716,23934091 
20170717,21369004 
20170718,12341688 
20170719,9251580 
20170720,10729762 
20170721,10507770 
20170722,14978182 
20170723,11856710 
20170724,12492164 
20170725,13380952 
20170726,12742337 
20170727,11333420 
20170728,9558268 
20170729,13984156 
20170730,26351039 
20170731,19895757 
20170801,12057164 
20170802,10534242 
20170803,14501277 
20170804,14188852 
20170805,11191363 
20170806,14240627 
20170807,13291082 
20170808,11605324 
20170809,15492186 
20170810,14777987 
20170811,14159437 
20170812,13900454 
20170813,12704567 
20170814,12795671 
20170815,13086666 
20170816,14042878 
20170817,13735346 
20170818,13353419 
20170819,15263441 
20170820,13064805 
20170821,19123030 
20170822,30299567 
20170823,21113614 
20170824,9891861 
20170825,11800021 
20170826,11581623 
20170827,14959870 
20170828,11824156 
20170829,13213896 
20170830,12903095 
20170831,12232770 
20170901,14741407 
20170902,17293636 
20170903,17296017 
20170904,13686147 
20170905,16658571 
20170906,12931775 
20170907,14187727 
20170908,14517814 
20170909,14360541 
20170910,13675866 
20170911,11949783 
20170912,13826320 
20170913,19115627 
20170914,11808073 
20170915,13402056 
20170916,14905322 
20170917,18547467 
20170918,13070258 
20170919,11091254 
20170920,12980368 
20170921,14587056 
20170922,13141428 
20170923,16046818 
20170924,14779762 
20170925,14145214 
20170926,11960972 
20170927,12763414 
20170928,12003939 
20170929,15303721 
20170930,14951940 
20171001,15791643 
20171002,13361059 
20171003,13437245 
20171004,14727054 
20171005,14031057 
20171006,12453697 
20171007,13149671 
20171008,17096529 
20171009,16227857 
20171010,12223499 
20171011,14049626 
20171012,15465259 
20171013,12889370 
20171014,16716701 
20171015,15831619 
20171016,15085793 
20171017,11955106 
20171018,12206881 
20171019,12255083 
20171020,13581742 
20171021,27119524 
20171022,24629841 
20171023,13671580 
20171024,13675344 
20171025,13100021 
20171026,15074672 
20171027,13289524 
20171028,13312316 
20171029,12570297 
20171030,13535736 
20171031,13692749 
20171101,13536753 
20171102,14007641 
20171103,14583939 
20171104,17928398 
20171105,13821363 
20171106,13425800 
20171107,11719697 
20171108,15116320 
20171109,12388398 
20171110,12782056 
20171111,13609740 
20171112,16608614 
20171113,11664675 
20171114,11786190 
20171115,12442575 
20171116,14742618 
20171117,13477164 
20171118,19194459 
20171119,13301688 
20171120,13570151 
20171121,14214264 
20171122,16610498 
20171123,12003853 
20171124,14533874 
20171125,16032098 
20171126,15826493 
20171127,15556623 
20171128,13227532 
20171129,14190454 
20171130,16527294 
20171201,16461840 
20171202,18975389 
20171203,18646060 
20171204,13468636 
20171205,21625151 
20171206,14830606 
20171207,14170562 
20171208,16269892 
20171209,15753419 
20171210,16235627 
20171211,14780476 
20171212,14158225 
20171213,14230974 
20171214,14436060 
20171215,14454091 
20171216,15264589 
20171217,2223181 
