"ef_date","total_amount"
20140226,14218658 
20140227,10038312 
20140228,8472164 
20140301,9995281 
20140302,5459935 
20140303,7613679 
20140304,9330541 
20140305,7515995 
20140306,9908571 
20140307,6358982 
20140308,4804394 
20140309,5332922 
20140310,6310606 
20140311,5791710 
20140312,6142857 
20140313,7041471 
20140314,6526233 
20140315,7109913 
20140316,5801753 
20140317,5975865 
20140318,5514740 
20140319,6588420 
20140320,7903398 
20140321,5699523 
20140322,9985108 
20140323,5308441 
20140324,5755692 
20140325,5972943 
20140326,6110281 
20140327,6281840 
20140328,6606212 
20140329,7410736 
20140330,6466775 
20140331,6788723 
20140401,7189177 
20140402,7610021 
20140403,7076255 
20140404,6296710 
20140405,7916602 
20140406,3723788 
20140407,5972643 
20140408,4991114 
20140409,5117705 
20140410,6326140 
20140411,6206251 
20140412,6697463 
20140413,4898216 
20140414,6044588 
20140415,5029653 
20140416,6598054 
20140417,7097900 
20140418,5855420 
20140419,7715669 
20140420,5257411 
20140421,4308734 
20140422,5881913 
20140423,5516567 
20140424,5779454 
20140425,3736848 
20140426,5139454 
20140427,5726294 
20140428,9046829 
20140429,5767809 
20140430,4047614 
20140501,3968569 
20140502,4796233 
20140503,5510617 
20140504,4826201 
20140505,5441078 
20140506,4794822 
20140507,6142580 
20140508,4021930 
20140509,7329121 
20140510,7792169 
20140511,4611956 
20140512,5595917 
20140513,5750991 
20140514,5550913 
20140515,5005259 
20140516,5961160 
20140517,4008770 
20140518,4566143 
20140519,5904190 
20140520,5706277 
20140521,4136653 
20140522,4501385 
20140523,4804056 
20140524,3877008 
20140525,4556549 
20140526,4257909 
20140527,4695099 
20140528,7358277 
20140529,4318558 
20140530,4545913 
20140531,4900930 
20140601,4217848 
20140602,3680740 
20140603,4955324 
20140604,4591000 
20140605,4330601 
20140606,3683389 
20140607,3717523 
20140608,3749324 
20140609,4178376 
20140610,4944567 
20140611,5297575 
20140612,4138593 
20140613,4597489 
20140614,5524177 
20140615,4006623 
20140616,3636450 
20140617,5454632 
20140618,4124978 
20140619,4121428 
20140620,3525671 
20140621,4886407 
20140622,5413290 
20140623,4169588 
20140624,3152619 
20140625,3608073 
20140626,4447770 
20140627,3765844 
20140628,3131536 
20140629,3057013 
20140630,3566450 
20140701,5330909 
20140702,4988419 
20140703,4337207 
20140704,3478679 
20140705,3751731 
20140706,4640043 
20140707,3837445 
20140708,4871731 
20140709,4256645 
20140710,4337207 
20140711,4009112 
20140712,4700930 
20140713,3399718 
20140714,4011255 
20140715,3395151 
20140716,5235043 
20140717,4222857 
20140718,2896515 
20140719,4892077 
20140720,4010021 
20140721,3476320 
20140722,3819935 
20140723,3658073 
20140724,2914004 
20140725,3669588 
20140726,3049242 
20140727,3433961 
20140728,3177813 
20140729,3865476 
20140730,3122077 
20140731,3829545 
20140801,3148181 
20140802,3434134 
20140803,3088917 
20140804,3412965 
20140805,5068138 
20140806,3242164 
20140807,3141255 
20140808,4441039 
20140809,3994697 
20140810,3741580 
20140811,3273073 
20140812,3937597 
20140813,3757207 
20140814,6649307 
20140815,6266948 
20140816,3966060 
20140817,3825302 
20140818,4961558 
20140819,5276255 
20140820,6205909 
20140821,6172662 
20140822,4693203 
20140823,5091688 
20140824,4089935 
20140825,5276298 
20140826,5746948 
20140827,5585887 
20140828,5962294 
20140829,4689870 
20140830,5644264 
20140831,5242013 
20140901,6190259 
20140902,3357337 
20140903,4959675 
20140904,6104891 
20140905,6824307 
20140906,7268852 
20140907,4677012 
20140908,6132510 
20140909,4943874 
20140910,5506666 
20140911,6661233 
20140912,4763722 
20140913,7505259 
20140914,3575432 
20140915,6431861 
20140916,4501666 
20140917,5139870 
20140918,6811406 
20140919,5530822 
20140920,4475173 
20140921,4927186 
20140922,5582380 
20140923,6132229 
20140924,5691385 
20140925,6000086 
20140926,6268138 
20140927,8730173 
20140928,3715108 
20140929,7130974 
20140930,6617164 
20141001,6616255 
20141002,7982835 
20141003,6095086 
20141004,7901406 
20141005,4796515 
20141006,5728658 
20141007,7515281 
20141008,6698138 
20141009,7105151 
20141010,6098657 
20141011,7471818 
20141012,7016233 
20141013,7070995 
20141014,7006666 
20141015,6098982 
20141016,7413896 
20141017,7104047 
20141018,8605432 
20141019,4848225 
20141020,8112424 
20141021,6644502 
20141022,5878203 
20141023,6726926 
20141024,5689372 
20141025,8296017 
20141026,7607900 
20141027,6739394 
20141028,7093853 
20141029,7179697 
20141030,7368679 
20141031,7372467 
20141101,8787337 
20141102,8001277 
20141103,7780562 
20141104,7467662 
20141105,7224264 
20141106,7096883 
20141107,7574956 
20141108,9245930 
20141109,5792186 
20141110,8211299 
20141111,7348485 
20141112,6995714 
20141113,7854004 
20141114,7536666 
20141115,9089502 
20141116,6761558 
20141117,7265108 
20141118,7089632 
20141119,8363614 
20141120,8963961 
20141121,6897381 
20141122,8617900 
20141123,6883485 
20141124,7735649 
20141125,6407619 
20141126,6462315 
20141127,8322251 
20141128,7693766 
20141129,8966688 
20141130,6556212 
20141201,8304221 
20141202,7184718 
20141203,7330900 
20141204,7234307 
20141205,9633333 
20141206,12339398 
20141207,4545432 
20141208,7350541 
20141209,5578095 
20141210,6868896 
20141211,5355909 
20141212,6843316 
20141213,5355194 
20141214,4607445 
20141215,6799545 
20141216,5858766 
20141217,7497147 
20141218,6277316 
20141219,7641580 
20141220,7539328 
20141221,4891904 
20141222,6109104 
20141223,6416285 
20141224,12628363 
20141225,12028008 
20141226,7309545 
20141227,7546515 
20141228,6148376 
20141229,6364870 
20141230,5690995 
20141231,6996125 
20150101,5552056 
20150102,6860324 
20150103,6855324 
20150104,5213398 
20150105,5872402 
20150106,6172445 
20150107,7150324 
20150108,7975303 
20150109,7857922 
20150110,6274891 
20150111,5451558 
20150112,6673549 
20150113,6404653 
20150114,6511298 
20150115,6884697 
20150116,5939155 
20150117,4297619 
20150118,4717121 
20150119,5493584 
20150120,6081147 
20150121,6907813 
20150122,7271277 
20150123,7028030 
20150124,7960930 
20150125,6720649 
20150126,7335952 
20150127,6558203 
20150128,6550303 
20150129,6035671 
20150130,6624999 
20150131,6779393 
20150201,4698354 
20150202,7185779 
20150203,5848597 
20150204,6400800 
20150205,7234610 
20150206,6766233 
20150207,7635476 
20150208,4640844 
20150209,6893917 
20150210,5996818 
20150211,6922272 
20150212,8293541 
20150213,3682922 
20150214,5219536 
20150215,4554428 
20150216,4856406 
20150217,4735857 
20150218,8621380 
20150219,6319593 
20150220,5432316 
20150221,6151601 
20150222,7015671 
20150223,4542575 
20150224,7397757 
20150225,7204095 
20150226,7099675 
20150227,7329632 
20150228,7128614 
20150301,4862792 
20150302,6876060 
20150303,6820757 
20150304,6989636 
20150305,8641432 
20150306,6633328 
20150307,5927696 
20150308,5648177 
20150309,6100173 
20150310,6242467 
20150311,7036796 
20150312,6517012 
20150313,5950151 
20150314,7200497 
20150315,4035303 
20150316,4834025 
20150317,6221060 
20150318,5361817 
20150319,4797727 
20150320,4019696 
20150321,4166060 
20150322,2505454 
20150323,3341060 
20150324,529545 
